IMJLJF_00270 	 PF09643.13
IMJLJF_00345 	 PF13392.9
IMJLJF_00360 	 PF12705.10
CKGEFD_00185 	 PF18823.4
CKGEFD_00255 	 PF13871.9
CKGEFD_00255 	  PF13872.9
CKGEFD_00295 	 PF10721.12
CKGEFD_00320 	 PF13619.9
AHHCJF_00140 	 PF13481.9
AHHCJF_00170 	 PF10544.12
AHHCJF_00225 	 PF04466.16
AHHCJF_00280 	 PF16190.8
AHHCJF_00315 	 PF05838.15
NCALEO_00090 	 PF05257.19
NCALEO_00105 	 PF01520.21
NCALEO_00115 	 PF13521.9
NCALEO_00130 	 PF13384.9
NCALEO_00245 	 PF12705.10
NCALEO_00255 	 PF03796.18
NCALEO_00255 	  PF06745.16
NCALEO_00255 	  PF13481.9
NCALEO_00305 	 PF16677.8
NOGFAN_00095 	 PF20530.1
NOGFAN_00225 	 PF00041.24
NOGFAN_00250 	 PF01464.23
NOGFAN_00335 	 PF08299.14
NOGFAN_00350 	 PF10544.12
FFHAOF_00005 	 PF00271.34
FFHAOF_00015 	 PF13245.9
FFHAOF_00015 	  PF13538.9
FFHAOF_00015 	  PF13604.9
FFHAOF_00020 	 PF00145.20
FFHAOF_00035 	 PF08774.14
FFHAOF_00040 	 PF01807.23
FFHAOF_00065 	 PF01381.25
FFHAOF_00065 	  PF13560.9
FFHAOF_00065 	  PF15731.8
FFHAOF_00305 	 PF02037.30
FFHAOF_00305 	  PF12684.10
FFHAOF_00310 	 PF13479.9
LLMOOF_00015 	 PF18925.3
COLMMC_00060 	 PF18925.3
COLMMC_00100 	 PF02767.19
COLMMC_00130 	 PF08279.15
COLMMC_00150 	 PF00270.32
COLMMC_00155 	 PF00271.34
COLMMC_00255 	 PF20557.1
EACBEN_00060 	 PF01476.23
EACBEN_00130 	 PF12684.10
EACBEN_00190 	 PF00004.32
EACBEN_00190 	  PF01695.20
EACBEN_00225 	 PF13392.9
EACBEN_00270 	 PF01381.25
EACBEN_00270 	  PF12844.10
EACBEN_00270 	  PF13560.9
EACBEN_00285 	 PF18454.4
EACBEN_00290 	 PF18454.4
EACBEN_00295 	 PF18454.4
EACBEN_00310 	 PF18454.4
EBLFPO_00150 	 PF01712.22
EBLFPO_00150 	  PF13238.9
EBLFPO_00500 	 PF08861.13
EBLFPO_00555 	 PF00176.26
EBLFPO_00555 	  PF00270.32
EBLFPO_00565 	 PF12705.10
EBLFPO_00655 	 PF03781.19
EBLFPO_00815 	 PF00293.31
EBLFPO_00835 	 PF01656.26
EBLFPO_00880 	 PF13519.9
EBLFPO_00960 	 PF09967.12
EBLFPO_00960 	  PF13203.9
EBLFPO_00970 	 PF07728.17
EBLFPO_01070 	 PF01814.26
EBLFPO_01320 	 PF07508.16
EBLFPO_01365 	 PF01327.24
