KMBKOD_00045 	 PF13229
KMBKOD_00055 	 PF08291
KMBKOD_00075 	 PF01551
KMBKOD_00105 	 PF12728
KMBKOD_00110 	 PF03837
KMBKOD_00125 	 PF09643
KMBKOD_00155 	 PF12961
KMBKOD_00180 	 PF09588
KMBKOD_00190 	 PF00271;PF04851
KMBKOD_00205 	 PF05272
KMBKOD_00270 	 PF05118
KMBKOD_00285 	 PF12236
KMBKOD_00295 	 PF18962
EBOGHI_00035 	 PF09414
EBOGHI_00110 	 PF07484
EBOGHI_00120 	 PF11041
EBOGHI_00160 	 PF18013
EBOGHI_00165 	 PF01464
EBOGHI_00180 	 PF12323;PF01385;PF07282
EBOGHI_00185 	 PF11681
EBOGHI_00190 	 PF11863
EBOGHI_00215 	 PF13262
EBOGHI_00225 	 PF09950
EBOGHI_00235 	 PF09979
EBOGHI_00275 	 PF04233
EBOGHI_00280 	 PF06381
EBOGHI_00315 	 PF06147
EBOGHI_00335 	 PF13392
EBOGHI_00340 	 PF05772
EBOGHI_00385 	 PF13362
EBOGHI_00390 	 PF13362
EBOGHI_00395 	 PF00271;PF04851
EBOGHI_00400 	 PF00271;PF04851
EBOGHI_00435 	 PF01555
LFOJED_00025 	 PF06199
LFOJED_00030 	 PF11367
LFOJED_00035 	 PF04883
LFOJED_00040 	 PF05521
LFOJED_00060 	 PF13392
LFOJED_00065 	 PF05065
LFOJED_00070 	 PF04586
LFOJED_00075 	 PF04233
LFOJED_00085 	 PF04860
LFOJED_00090 	 PF17289
LFOJED_00125 	 PF03796;PF13662
LFOJED_00130 	 PF01555
LFOJED_00155 	 PF13148;PF09250
LFOJED_00175 	 PF05037
LFOJED_00185 	 PF00271;PF04851
LFOJED_00190 	 PF08774
LFOJED_00275 	 PF01510
BHGCIG_00005 	 PF10076
BHGCIG_00055 	 PF17762;PF02195
BHGCIG_00060 	 PF02195
BHGCIG_00075 	 PF04266
BHGCIG_00095 	 PF12728
BHGCIG_00160 	 PF01555;PF02195
BHGCIG_00180 	 PF05876;PF20454
BHGCIG_00190 	 PF05136
BHGCIG_00195 	 PF10124
BHGCIG_00200 	 PF09956
BHGCIG_00215 	 PF10948
BHGCIG_00220 	 PF04984;PF17482
BHGCIG_00225 	 PF10618
BHGCIG_00230 	 PF10109
BHGCIG_00240 	 PF07157
BHGCIG_00250 	 PF06890
BHGCIG_00265 	 PF04865
PGMHMM_00055 	 PF01541;PF07460
PGMHMM_00075 	 PF13392
PGMHMM_00085 	 PF13619
PGMHMM_00095 	 PF10065
PGMHMM_00175 	 PF05772
PGMHMM_00195 	 PF06147
PGMHMM_00340 	 PF00583
PGMHMM_00360 	 PF18823
PGMHMM_00365 	 PF18763;PF18823
PGMHMM_00440 	 PF07995
PGMHMM_00465 	 PF13872;PF13871
PGMHMM_00470 	 PF13872;PF13871
