HBDOFJ_00295 	 PF18823.4
HBDOFJ_00385 	 PF13871.9
HBDOFJ_00385 	  PF13872.9
HBDOFJ_00430 	 PF10721.12
HBDOFJ_00460 	 PF13619.9
MCFGEF_00150 	 PF08237.14
MCFGEF_00155 	 PF01510.28
MCFGEF_00175 	 PF12708.10
MCFGEF_00175 	  PF13229.9
MKALHJ_00135 	 PF01381.25
MKALHJ_00135 	  PF13560.9
MKALHJ_00230 	 PF13884.9
BHHIMF_00060 	 PF18352.4
BHHIMF_00210 	 PF17289.5
OCBONA_00170 	 PF16473.8
OCBONA_00175 	 PF13560.9
OCBONA_00245 	 PF00176.26
OCBONA_00245 	  PF00271.34
OCBONA_00560 	 PF10263.12
CIDHNE_00030 	 PF05838.15
CIDHNE_00200 	 PF13481.9
CIDHNE_00225 	 PF10544.12
CIDHNE_00320 	 PF16190.8
OHBKPN_00030 	 PF00166.24
OHBKPN_00090 	 PF01464.23
OHBKPN_00105 	 PF12708.10
OHBKPN_00265 	 PF13412.9
OHBKPN_00285 	 PF00270.32
OHBKPN_00285 	  PF00271.34
FICEGH_00075 	 PF18925.3
FICEGH_00270 	 PF18406.4
NLMCPI_00015 	 PF00565.20
NLMCPI_00130 	 PF01381.25
NLMCPI_00130 	  PF12844.10
NLMCPI_00130 	  PF13560.9
NLMCPI_00235 	 PF05838.15
NLMCPI_00235 	  PF09374.13
NLMCPI_00315 	 PF13432.9
NLMCPI_00385 	 PF04466.16
DBDLIC_00125 	 PF08924.14
DBDLIC_00315 	 PF01381.25
DBDLIC_00315 	  PF12844.10
DBDLIC_00315 	  PF13560.9
DBDLIC_00325 	 PF13392.9
DBDLIC_00360 	 PF08299.14
DBDLIC_00365 	 PF13395.9
DBDLIC_00365 	  PF14279.9
DBDLIC_00380 	 PF19889.2
HBIIEJ_00070 	 PF01381.25
HBIIEJ_00070 	  PF13560.9
HBIIEJ_00070 	  PF15731.8
HBIIEJ_00080 	 PF01807.23
HBIIEJ_00085 	 PF08774.14
HBIIEJ_00100 	 PF13538.9
HBIIEJ_00105 	 PF13245.9
HBIIEJ_00105 	  PF13604.9
HBIIEJ_00120 	 PF00271.34
HBIIEJ_00125 	 PF13479.9
HBIIEJ_00130 	 PF02037.30
HBIIEJ_00130 	  PF12684.10
NJAFHF_00030 	 PF18454.4
NJAFHF_00045 	 PF18454.4
NJAFHF_00050 	 PF18454.4
NJAFHF_00055 	 PF18454.4
NJAFHF_00070 	 PF01381.25
NJAFHF_00070 	  PF12844.10
NJAFHF_00070 	  PF13560.9
NJAFHF_00105 	 PF13392.9
NJAFHF_00130 	 PF00004.32
NJAFHF_00130 	  PF01695.20
NJAFHF_00185 	 PF12684.10
NJAFHF_00260 	 PF01476.23
DODIAC_00035 	 PF00486.31
DODIAC_00175 	 PF13385.9
DODIAC_00345 	 PF01656.26
DODIAC_00345 	  PF13614.9
EALOAH_00005 	 PF12965.10
EALOAH_00085 	 PF01381.25
EALOAH_00185 	 PF20557.1
EALOAH_00235 	 PF02954.22
EALOAH_00415 	 PF18662.4
EALOAH_00420 	 PF06048.14
ODOGLO_00015 	 PF12684.10
ODOGLO_00045 	 PF01381.25
ODOGLO_00045 	  PF14549.9
ODOGLO_00050 	 PF00772.24
ODOGLO_00050 	  PF13481.9
ODOGLO_00060 	 PF01381.25
BPMLMK_00010 	 PF03102.17
BPMLMK_00015 	 PF13302.10
BPMLMK_00050 	 PF08241.15
BPMLMK_00050 	  PF08242.15
BPMLMK_00050 	  PF13489.9
BPMLMK_00050 	  PF13649.9
BPMLMK_00050 	  PF13847.9
BPMLMK_00065 	 PF00202.24
BPMLMK_00340 	 PF14279.9
BPMLMK_00465 	 PF13229.9
BPMLMK_00610 	 PF00772.24
BPMLMK_00615 	 PF03796.18
APNACP_00005 	 PF12961.10
APNACP_00020 	 PF00805.25
