GABCOJ_00010 	 PF11134
GABCOJ_00015 	 PF11134
GABCOJ_00035 	 PF16928
GABCOJ_00050 	 PF12708
GABCOJ_00065 	 PF11351
GABCOJ_00070 	 PF08774
GABCOJ_00105 	 PF01555
GABCOJ_00145 	 PF00271;PF04851
GABCOJ_00170 	 PF05037
GABCOJ_00195 	 PF13362
GABCOJ_00215 	 PF01555;PF02195
GABCOJ_00220 	 PF01555
GABCOJ_00240 	 PF17289
GABCOJ_00245 	 PF16510
GABCOJ_00255 	 PF11651
GABCOJ_00010 	 PF11134
GABCOJ_00015 	 PF11134
GABCOJ_00070 	 PF08774
NGHHDH_00020 	 PF11651
NGHHDH_00045 	 PF00622
NGHHDH_00085 	 PF00959
NGHHDH_00145 	 PF13876
NGHHDH_00160 	 PF09588
NGHHDH_00175 	 PF01555
NGHHDH_00310 	 PF17289
NGHHDH_00315 	 PF16510
MFINHD_00050 	 PF00959
MFINHD_00055 	 PF05048
MFINHD_00060 	 PF05048
MFINHD_00105 	 PF00436
MFINHD_00115 	 PF09588
MFINHD_00125 	 PF03837
MFINHD_00150 	 PF20081
MFINHD_00170 	 PF17289
MFINHD_00175 	 PF06381
MFINHD_00185 	 PF13229
MFINHD_00195 	 PF04233
MFINHD_00200 	 PF01129;PF04233
MFINHD_00205 	 PF09979
MFINHD_00215 	 PF09950
MFINHD_00225 	 PF13262
MFINHD_00250 	 PF11863
MFINHD_00255 	 PF11681
MFINHD_00295 	 PF18946;PF18352
ELMMBK_00015 	 PF04466;PF17288
ELMMBK_00020 	 PF04466;PF17288
ELMMBK_00025 	 PF16510
ELMMBK_00055 	 PF11650
ELMMBK_00095 	 PF11134
ELMMBK_00155 	 PF09008;PF12708
ELMMBK_00160 	 PF13884
ELMMBK_00200 	 PF00271;PF04851
ELMMBK_00315 	 PF13362
LMPMMF_00030 	 PF13539
LMPMMF_00100 	 PF11651
LMPMMF_00105 	 PF11651
LMPMMF_00115 	 PF16510
LMPMMF_00120 	 PF04466
LMPMMF_00175 	 PF04448
LMPMMF_00205 	 PF01469
LMPMMF_00260 	 PF00772;PF03796
LMPMMF_00280 	 PF04404
LMPMMF_00290 	 PF09588
AJAHDB_00020 	 PF01381
AJAHDB_00030 	 PF07120
AJAHDB_00040 	 PF12802
AJAHDB_00065 	 PF07102
AJAHDB_00105 	 PF10765
AJAHDB_00205 	 PF00583
AJAHDB_00210 	 PF13392
AJAHDB_00220 	 PF13392
AJAHDB_00230 	 PF13392
AJAHDB_00265 	 PF16083
AJAHDB_00275 	 PF00182
AJAHDB_00300 	 PF00589
AJAHDB_00305 	 PF12728
AJAHDB_00375 	 PF13392
AJAHDB_00395 	 PF04404
AJAHDB_00430 	 PF00717
FOBOHO_00015 	 PF11651
FOBOHO_00025 	 PF16510
FOBOHO_00030 	 PF04466;PF17288
FOBOHO_00040 	 PF01555;PF02195
FOBOHO_00045 	 PF01555;PF02195
FOBOHO_00050 	 PF19905
FOBOHO_00055 	 PF13362
FOBOHO_00075 	 PF05037
FOBOHO_00090 	 PF00271;PF04851
FOBOHO_00115 	 PF11195
FOBOHO_00180 	 PF13539
FOBOHO_00265 	 PF11134
JDOAKP_00015 	 PF01551
JDOAKP_00110 	 PF01370
JDOAKP_00115 	 PF01041
JDOAKP_00125 	 PF07021
JDOAKP_00130 	 PF08241
JDOAKP_00135 	 PF00535
JDOAKP_00140 	 PF04765
JDOAKP_00150 	 PF04765
JDOAKP_00170 	 PF13252
JDOAKP_00190 	 PF17288
JDOAKP_00205 	 PF01464
JDOAKP_00215 	 PF01555
JDOAKP_00270 	 PF05869
JDOAKP_00275 	 PF05766
HAJBLO_00025 	 PF01555;PF02195
HAJBLO_00050 	 PF00712;PF02767;PF02768
HAJBLO_00065 	 PF17289
HAJBLO_00075 	 PF14528;PF02867;PF00317
HAJBLO_00080 	 PF06074
HAJBLO_00125 	 PF05069
HAJBLO_00190 	 PF01343
HAJBLO_00195 	 PF02924
HAJBLO_00200 	 PF03864
HAJBLO_00205 	 PF07030
HAJBLO_00230 	 PF00672;PF00015
HAJBLO_00235 	 PF20155
HAJBLO_00345 	 PF01391
HAJBLO_00350 	 PF02371
HAJBLO_00395 	 PF00816
HAJBLO_00445 	 PF00436
HAJBLO_00460 	 PF17854;PF09397;PF01580;PF14528
HAJBLO_00470 	 PF04404
HAJBLO_00495 	 PF12684
HAJBLO_00500 	 PF12684
HAJBLO_00620 	 PF07866;PF00625
HAJBLO_00630 	 PF03796
