GABCOJ_00050 	 PF09458.13
GABCOJ_00050 	  PF12708.10
GABCOJ_00145 	 PF00270.32
GABCOJ_00145 	  PF00271.34
NGHHDH_00235 	 PF13412.9
NGHHDH_00310 	 PF04466.16
NGHHDH_00310 	  PF17289.5
MFINHD_00150 	 PF20081.2
ELMMBK_00020 	 PF17288.5
ELMMBK_00155 	 PF12708.10
ELMMBK_00160 	 PF13884.9
LMPMMF_00205 	 PF01469.21
LMPMMF_00205 	  PF01469.21
LMPMMF_00205 	  PF01469.21
LMPMMF_00205 	  PF01469.21
LMPMMF_00260 	 PF00772.24
LMPMMF_00260 	  PF03796.18
LMPMMF_00260 	  PF06745.16
LMPMMF_00260 	  PF13481.9
AJAHDB_00210 	 PF13392.9
AJAHDB_00220 	 PF13392.9
AJAHDB_00230 	 PF13392.9
AJAHDB_00275 	 PF00182.22
AJAHDB_00305 	 PF12728.10
FOBOHO_00090 	 PF00270.32
FOBOHO_00090 	  PF00271.34
FOBOHO_00120 	 PF07878.14
JDOAKP_00115 	 PF01041.20
JDOAKP_00130 	 PF08241.15
JDOAKP_00130 	  PF13649.9
HAJBLO_00050 	 PF00712.22
HAJBLO_00050 	  PF02767.19
HAJBLO_00050 	  PF02768.18
HAJBLO_00075 	 PF00303.22
HAJBLO_00075 	  PF00303.22
HAJBLO_00075 	  PF14528.9
HAJBLO_00130 	 PF08765.14
HAJBLO_00190 	 PF00574.26
HAJBLO_00195 	 PF02924.17
HAJBLO_00345 	 PF01391.21
HAJBLO_00345 	  PF01391.21
HAJBLO_00345 	  PF01391.21
HAJBLO_00460 	 PF14528.9
HAJBLO_00495 	 PF12684.10
HAJBLO_00630 	 PF13481.9
