IMJLJF_00090 	 PF18906
IMJLJF_00135 	 PF04586
IMJLJF_00145 	 PF04233;PF04860
IMJLJF_00150 	 PF04860
IMJLJF_00155 	 PF17289
IMJLJF_00165 	 PF01555
IMJLJF_00215 	 PF00847
IMJLJF_00295 	 PF01555
IMJLJF_00325 	 PF07261
IMJLJF_00345 	 PF13392;PF07463
IMJLJF_00215 	 PF00847
IMJLJF_00345 	 PF13392;PF07463
CKGEFD_00165 	 PF00583
CKGEFD_00285 	 PF00959
CKGEFD_00290 	 PF20137
CKGEFD_00295 	 PF10721
CKGEFD_00320 	 PF13619
CKGEFD_00325 	 PF13876
CKGEFD_00330 	 PF13876
CKGEFD_00335 	 PF10065
CKGEFD_00400 	 PF05772
CKGEFD_00430 	 PF01381
AHHCJF_00040 	 PF00145
AHHCJF_00065 	 PF08241
AHHCJF_00155 	 PF08774
AHHCJF_00170 	 PF10544
AHHCJF_00190 	 PF13860
AHHCJF_00225 	 PF04466
AHHCJF_00230 	 PF04466
AHHCJF_00235 	 PF16510
AHHCJF_00240 	 PF09306
AHHCJF_00245 	 PF11651
AHHCJF_00250 	 PF11651
AHHCJF_00265 	 PF11650
AHHCJF_00270 	 PF11134
AHHCJF_00305 	 PF05048
AHHCJF_00315 	 PF05838;PF09374
AHHCJF_00340 	 PF00149
NCALEO_00105 	 PF01520
NCALEO_00115 	 PF13521
NCALEO_00135 	 PF06356
NCALEO_00245 	 PF12705
NCALEO_00250 	 PF04404
NCALEO_00255 	 PF00772;PF03796
NCALEO_00305 	 PF16677
NOGFAN_00045 	 PF13392
NOGFAN_00050 	 PF04404
NOGFAN_00055 	 PF00436
NOGFAN_00060 	 PF07105
NOGFAN_00095 	 PF20530
NOGFAN_00130 	 PF00589
NOGFAN_00200 	 PF05838;PF09374
NOGFAN_00215 	 PF08205
NOGFAN_00250 	 PF01464
NOGFAN_00335 	 PF08299
NOGFAN_00355 	 PF05866
FFHAOF_00005 	 PF00271;PF04851
FFHAOF_00010 	 PF01555
FFHAOF_00015 	 PF13538
FFHAOF_00020 	 PF00145
FFHAOF_00040 	 PF13662;PF08275;PF01807
FFHAOF_00060 	 PF19898
FFHAOF_00120 	 PF02195
FFHAOF_00135 	 PF04233;PF04860
FFHAOF_00140 	 PF04586
FFHAOF_00150 	 PF05065
FFHAOF_00165 	 PF05135
FFHAOF_00195 	 PF18906
FFHAOF_00210 	 PF20155
FFHAOF_00275 	 PF18925
FFHAOF_00305 	 PF12684
FFHAOF_00315 	 PF00271;PF04851
LLMOOF_00015 	 PF18925
LLMOOF_00055 	 PF00436
LLMOOF_00060 	 PF09588
LLMOOF_00065 	 PF03837
LLMOOF_00070 	 PF03837
LLMOOF_00090 	 PF20081
LLMOOF_00110 	 PF17289
LLMOOF_00115 	 PF16510
LLMOOF_00140 	 PF11651
LLMOOF_00160 	 PF11134
LLMOOF_00190 	 PF12571
LLMOOF_00205 	 PF00959
LLMOOF_00210 	 PF05048
LLMOOF_00215 	 PF08774
LLMOOF_00220 	 PF11753
COLMMC_00015 	 PF05257
COLMMC_00025 	 PF16083
COLMMC_00040 	 PF00383
COLMMC_00060 	 PF18925
COLMMC_00065 	 PF08774
COLMMC_00100 	 PF00712;PF02767;PF02768
COLMMC_00120 	 PF03819
COLMMC_00130 	 PF01022
COLMMC_00140 	 PF05037
COLMMC_00150 	 PF00271;PF04851
COLMMC_00155 	 PF00271;PF04851;PF10571
COLMMC_00175 	 PF13550
COLMMC_00205 	 PF09718;PF06791
COLMMC_00230 	 PF18906
COLMMC_00255 	 PF20557
COLMMC_00265 	 PF20036
COLMMC_00280 	 PF13264
EACBEN_00040 	 PF17482
EACBEN_00080 	 PF04965
EACBEN_00085 	 PF04865
EACBEN_00110 	 PF13539
EACBEN_00130 	 PF12684
EACBEN_00180 	 PF14657;PF14659;PF00589
EACBEN_00190 	 PF01695
EACBEN_00270 	 PF01381
EACBEN_00285 	 PF18454;PF05593
EACBEN_00290 	 PF18454
EACBEN_00325 	 PF05133
EBLFPO_00005 	 PF05869
EBLFPO_00090 	 PF18909
EBLFPO_00115 	 PF01520;PF00265
EBLFPO_00150 	 PF01712
EBLFPO_00160 	 PF13304
EBLFPO_00215 	 PF09414
EBLFPO_00265 	 PF01385;PF07282
EBLFPO_00390 	 PF00226
EBLFPO_00425 	 PF09723
EBLFPO_00470 	 PF00476
EBLFPO_00500 	 PF08861
EBLFPO_00525 	 PF00929
EBLFPO_00560 	 PF01936
EBLFPO_00610 	 PF00782
EBLFPO_00655 	 PF03781
EBLFPO_00775 	 PF07799
EBLFPO_00795 	 PF03235
EBLFPO_00815 	 PF00293
EBLFPO_00835 	 PF13614
EBLFPO_00890 	 PF17868;PF20030
EBLFPO_00960 	 PF09967;PF13203
EBLFPO_00970 	 PF07728
EBLFPO_01165 	 PF01385;PF07282
EBLFPO_01250 	 PF00463
EBLFPO_01295 	 PF00069;PF08238
EBLFPO_01320 	 PF07508;PF00239
EBLFPO_01365 	 PF01327
EBLFPO_01435 	 PF00717
EBLFPO_01440 	 PF02899;PF00589
