PFMPJB_00005 	 PF12708.10
PFMPJB_00005 	  PF13229.9
PFMPJB_00045 	 PF05118.18
PFMPJB_00235 	 PF00805.25
PFMPJB_00235 	  PF00805.25
PFMPJB_00235 	  PF00805.25
PFMPJB_00235 	  PF00805.25
PFMPJB_00235 	  PF00805.25
PFMPJB_00235 	  PF00805.25
PFMPJB_00235 	  PF00805.25
PFMPJB_00290 	 PF20081.2
PNKMIC_00045 	 PF09643.13
PNKMIC_00050 	 PF09643.13
PNKMIC_00090 	 PF12728.10
PNKMIC_00100 	 PF13392.9
PNKMIC_00125 	 PF00145.20
PNKMIC_00130 	 PF00271.34
PNKMIC_00135 	 PF08774.14
PNKMIC_00140 	 PF05272.14
PNKMIC_00175 	 PF14528.9
PNKMIC_00255 	 PF18834.4
KMDOHP_00090 	 PF08924.14
KMDOHP_00265 	 PF01381.25
KMDOHP_00265 	  PF12844.10
KMDOHP_00265 	  PF13560.9
KMDOHP_00275 	 PF13392.9
KMDOHP_00310 	 PF08299.14
KMDOHP_00315 	 PF13395.9
KMDOHP_00315 	  PF14279.9
KMDOHP_00330 	 PF19889.2
KCEBEK_00175 	 PF12965.10
KCEBEK_00180 	 PF00145.20
KCEBEK_00210 	 PF06048.14
KCEBEK_00215 	 PF06048.14
KCEBEK_00235 	 PF20600.1
KCEBEK_00445 	 PF02954.22
APCODD_00020 	 PF08809.14
APCODD_00085 	 PF13946.9
APCODD_00085 	  PF13946.9
APCODD_00095 	 PF13385.9
APCODD_00100 	 PF13385.9
APCODD_00195 	 PF00271.34
APCODD_00225 	 PF13479.9
APCODD_00230 	 PF00805.25
APCODD_00230 	  PF00805.25
APCODD_00290 	 PF05876.15
APCODD_00290 	  PF20454.1
IPAGDK_00010 	 PF00145.20
IPAGDK_00220 	 PF00041.24
IPAGDK_00245 	 PF01464.23
IPAGDK_00330 	 PF08299.14
IPAGDK_00345 	 PF10544.12
EJCINK_00110 	 PF08279.15
EJCINK_00140 	 PF00092.31
EJCINK_00220 	 PF16786.8
EJCINK_00495 	 PF18853.4
EJCINK_00505 	 PF18857.4
EEEOPH_00005 	 PF00082.25
EEEOPH_00185 	 PF13550.9
EEEOPH_00360 	 PF01471.21
COAFMD_00100 	 PF00565.20
COAFMD_00185 	 PF13432.9
COAFMD_00260 	 PF05838.15
COAFMD_00260 	  PF09374.13
COAFMD_00360 	 PF01381.25
COAFMD_00360 	  PF12844.10
COAFMD_00360 	  PF13560.9
HEHNDD_00010 	 PF12684.10
HEHNDD_00220 	 PF00772.24
HEHNDD_00220 	  PF13481.9
HEHNDD_00225 	 PF01381.25
HEHNDD_00225 	  PF14549.9
PJKCMF_00045 	 PF01381.25
PJKCMF_00045 	  PF13560.9
PJKCMF_00045 	  PF15731.8
PJKCMF_00060 	 PF01807.23
PJKCMF_00065 	 PF08774.14
PJKCMF_00070 	 PF04266.17
PJKCMF_00085 	 PF00145.20
PJKCMF_00090 	 PF13245.9
PJKCMF_00090 	  PF13604.9
PJKCMF_00100 	 PF00271.34
PJKCMF_00110 	 PF13479.9
PJKCMF_00115 	 PF02037.30
PJKCMF_00115 	  PF12684.10
DLGOIN_00050 	 PF00550.28
DLGOIN_00075 	 PF13392.9
DLGOIN_00090 	 PF13619.9
DLGOIN_00270 	 PF18823.4
DLGOIN_00325 	 PF00176.26
DLGOIN_00335 	 PF18857.4
DLGOIN_00370 	 PF13986.9
GGBAAE_00150 	 PF12705.10
GGBAAE_00175 	 PF08774.14
GGBAAE_00225 	 PF09643.13
JGMNBE_00180 	 PF13443.9
JGMNBE_00185 	 PF13479.9
JGMNBE_00215 	 PF01381.25
JGMNBE_00215 	  PF05225.19
