FDBLHH_00010 	 PF04466
FDBLHH_00020 	 PF16510
FDBLHH_00030 	 PF11651
FDBLHH_00045 	 PF11650
FDBLHH_00050 	 PF11134
FDBLHH_00190 	 PF07505
FDBLHH_00270 	 PF08774
FDBLHH_00285 	 PF10544
FDBLHH_00305 	 PF13860
DPKMII_00005 	 PF00772;PF03796
DPKMII_00015 	 PF00313
DPKMII_00145 	 PF07087
DPKMII_00150 	 PF00959
DPKMII_00155 	 PF08774
HBINHA_00110 	 PF07790
HBINHA_00150 	 PF13252
HBINHA_00165 	 PF20387
HBINHA_00170 	 PF12708
HBINHA_00185 	 PF00531;PF07679;PF00090;PF17217;PF00791
HBINHA_00260 	 PF13986
HBINHA_00290 	 PF13392;PF07463
HBINHA_00340 	 PF07120
HBINHA_00350 	 PF13392;PF01381
HBINHA_00355 	 PF07505
PBCMIF_00015 	 PF01520
PBCMIF_00025 	 PF13521
PBCMIF_00045 	 PF06356
PBCMIF_00165 	 PF12705
PBCMIF_00170 	 PF04404
PBCMIF_00175 	 PF03796
PBCMIF_00235 	 PF16677
PBCMIF_00375 	 PF05257
KBOCBM_00005 	 PF01391
KBOCBM_00025 	 PF05876
KBOCBM_00030 	 PF05876
KBOCBM_00070 	 PF01343
KBOCBM_00110 	 PF08813
KBOCBM_00115 	 PF08748
KBOCBM_00120 	 PF08809
KBOCBM_00130 	 PF10145
KBOCBM_00145 	 PF09343
KBOCBM_00150 	 PF09931;PF09356
KBOCBM_00155 	 PF00877
KBOCBM_00160 	 PF13550
KBOCBM_00170 	 PF13550
KBOCBM_00210 	 PF02511
KBOCBM_00230 	 PF13514
KBOCBM_00235 	 PF13514
KBOCBM_00240 	 PF13476
KBOCBM_00255 	 PF01068;PF14743
KBOCBM_00285 	 PF00145
KBOCBM_00305 	 PF02739;PF00476
KBOCBM_00320 	 PF01258
KBOCBM_00330 	 PF04055
KBOCBM_00345 	 PF03819
KBOCBM_00355 	 PF12843
KBOCBM_00360 	 PF12843;PF00929
KBOCBM_00385 	 PF00271;PF00176
KBOCBM_00405 	 PF07589
KBOCBM_00665 	 PF08346
AEOJHI_00005 	 PF05866
AEOJHI_00025 	 PF00145
AEOJHI_00030 	 PF01555
AEOJHI_00035 	 PF01555
AEOJHI_00040 	 PF00271
AEOJHI_00055 	 PF20530
AEOJHI_00075 	 PF04404
AEOJHI_00080 	 PF09588
