ILNFGC_00025 	 PF03118.18
ILNFGC_00105 	 PF14549.9
ILNFGC_00115 	 PF13481.9
ILNFGC_00120 	 PF13481.9
ILNFGC_00150 	 PF12705.10
ILNFGC_00190 	 PF08774.14
ILNFGC_00195 	 PF01381.25
ILNFGC_00195 	  PF13560.9
ILNFGC_00210 	 PF19905.2
ILNFGC_00290 	 PF13392.9
ILNFGC_00380 	 PF07460.14
ILNFGC_00445 	 PF00166.24
PLPEHB_00020 	 PF00271.34
PLPEHB_00065 	 PF00805.25
PLPEHB_00065 	  PF00805.25
PLPEHB_00065 	  PF00805.25
PLPEHB_00295 	 PF08707.14
PLPEHB_00295 	  PF09250.14
NGIJLK_00180 	 PF08748.14
NGIJLK_00185 	 PF08809.14
KACNJC_00010 	 PF13884.9
KACNJC_00140 	 PF08299.14
KACNJC_00315 	 PF13365.9
KACNJC_00330 	 PF00182.22
KACNJC_00355 	 PF13205.9
KACNJC_00390 	 PF18013.4
EDKGGP_00325 	 PF13479.9
EDKGGP_00370 	 PF19905.2
IHALGC_00070 	 PF12705.10
IHALGC_00145 	 PF00959.22
IHALGC_00210 	 PF18834.4
IHALGC_00215 	 PF01464.23
IHALGC_00225 	 PF13508.10
IHALGC_00320 	 PF05272.14
IHALGC_00330 	 PF09250.14
FHBAPO_00180 	 PF00271.34
FHBAPO_00310 	 PF13481.9
KLNPJE_00090 	 PF03796.18
KLNPJE_00095 	 PF00772.24
KLNPJE_00095 	  PF03796.18
KLNPJE_00095 	  PF06745.16
KLNPJE_00095 	  PF13481.9
KLNPJE_00145 	 PF01381.25
KMDALE_00145 	 PF12705.10
KMDALE_00170 	 PF13392.9
KMDALE_00240 	 PF13986.9
KMDALE_00340 	 PF18834.4
IJLFBM_00060 	 PF18834.4
IJLFBM_00115 	 PF19905.2
IJLFBM_00185 	 PF12705.10
IJLFBM_00210 	 PF01469.21
IJLFBM_00210 	  PF01469.21
IJLFBM_00210 	  PF01469.21
IJLFBM_00240 	 PF09250.14
IJLFBM_00245 	 PF05272.14
IJLFBM_00360 	 PF18834.4
IJLFBM_00400 	 PF19905.2
IJLFBM_00470 	 PF12705.10
IJLFBM_00490 	 PF01469.21
IJLFBM_00490 	  PF01469.21
IJLFBM_00490 	  PF01469.21
IJLFBM_00530 	 PF05272.14
IJLFBM_00530 	  PF09250.14
IJLFBM_00560 	 PF13472.9
LEIGEP_00030 	 PF04466.16
LEIGEP_00295 	 PF00805.25
LEIGEP_00295 	  PF00805.25
LEIGEP_00295 	  PF00805.25
LEIGEP_00310 	 PF00717.26
LEIGEP_00315 	 PF01381.25
LEIGEP_00315 	  PF13560.9
LEIGEP_00370 	 PF08707.14
LEIGEP_00370 	  PF13481.9
POHEKA_00140 	 PF00270.32
POHEKA_00150 	 PF00271.34
POHEKA_00175 	 PF05272.14
POHEKA_00180 	 PF05272.14
POHEKA_00290 	 PF18834.4
MEHPCB_00025 	 PF01464.23
MEHPCB_00050 	 PF00041.24
MEHPCB_00070 	 PF05838.15
MEHPCB_00070 	  PF09374.13
MEHPCB_00180 	 PF20530.1
MEHPCB_00205 	 PF13392.9
GHBCBL_00065 	 PF18834.4
PHFNNI_00215 	 PF00847.23
PHFNNI_00265 	 PF20081.2
PHFNNI_00295 	 PF19905.2
IMHCKC_00115 	 PF03629.21
IMHCKC_00130 	 PF13392.9
IMHCKC_00160 	 PF13395.9
IMHCKC_00160 	  PF14279.9
ECJECI_00075 	 PF00132.27
ECJECI_00075 	  PF14602.9
ECJECI_00075 	  PF14602.9
ECJECI_00100 	 PF13443.9
ECJECI_00315 	 PF00383.26
ECJECI_00385 	 PF13578.9
ECJECI_00430 	 PF04545.19
ECJECI_00435 	 PF01068.24
ECJECI_00435 	  PF14743.9
ECJECI_00465 	 PF07676.15
ECJECI_00610 	 PF00562.31
ECJECI_00610 	  PF00623.23
ECJECI_00610 	  PF14528.9
ECJECI_00875 	 PF01391.21
ECJECI_00920 	 PF00004.32
ECJECI_00965 	 PF05876.15
ECJECI_01020 	 PF00149.31
ECJECI_01035 	 PF13640.9
ECJECI_01035 	  PF13661.9
ECJECI_01050 	 PF03796.18
ECJECI_01060 	 PF01612.23
ECJECI_01060 	  PF03167.22
ECJECI_01190 	 PF13578.9
ECJECI_01245 	 PF00132.27
ECJECI_01245 	  PF14602.9
ECJECI_01250 	 PF00132.27
