FDBLHH_00055 	 PF16190.8
FDBLHH_00255 	 PF13481.9
FDBLHH_00285 	 PF10544.12
DPKMII_00005 	 PF03796.18
DPKMII_00005 	  PF13481.9
DPKMII_00015 	 PF00313.25
DPKMII_00215 	 PF14549.9
DPKMII_00280 	 PF00772.24
HBINHA_00110 	 PF00801.23
HBINHA_00110 	  PF18911.3
HBINHA_00220 	 PF18853.4
HBINHA_00260 	 PF13986.9
HBINHA_00290 	 PF13392.9
HBINHA_00350 	 PF13392.9
PBCMIF_00015 	 PF01520.21
PBCMIF_00025 	 PF13521.9
PBCMIF_00040 	 PF13384.9
PBCMIF_00165 	 PF12705.10
PBCMIF_00175 	 PF03796.18
PBCMIF_00175 	  PF06745.16
PBCMIF_00175 	  PF13481.9
PBCMIF_00235 	 PF16677.8
PBCMIF_00240 	 PF04466.16
PBCMIF_00375 	 PF05257.19
KBOCBM_00025 	 PF05876.15
KBOCBM_00115 	 PF08748.14
KBOCBM_00120 	 PF08809.14
KBOCBM_00135 	 PF09718.13
KBOCBM_00160 	 PF13550.9
KBOCBM_00240 	 PF13476.9
KBOCBM_00240 	  PF13514.9
KBOCBM_00305 	 PF02739.19
KBOCBM_00345 	 PF03819.20
KBOCBM_00385 	 PF00176.26
AEOJHI_00025 	 PF00145.20
AEOJHI_00055 	 PF20530.1
AEOJHI_00095 	 PF01726.19
AEOJHI_00310 	 PF04466.16
AEOJHI_00310 	  PF17289.5
AEOJHI_00325 	 PF08299.14
JEDHOM_00140 	 PF04466.16
JEDHOM_00145 	 PF16677.8
JEDHOM_00200 	 PF03796.18
JEDHOM_00200 	  PF06745.16
JEDHOM_00200 	  PF13481.9
JEDHOM_00210 	 PF12705.10
JEDHOM_00330 	 PF13384.9
JEDHOM_00345 	 PF13521.9
JEDHOM_00355 	 PF01520.21
JEDHOM_00375 	 PF05257.19
CKKDKH_00085 	 PF04466.16
CKKDKH_00285 	 PF13392.9
CKKDKH_00295 	 PF08774.14
CKKDKH_00335 	 PF09643.13
IHEHHD_00010 	 PF18857.4
IHEHHD_00025 	 PF18812.4
IHEHHD_00285 	 PF00772.24
IHEHHD_00285 	  PF03796.18
IHEHHD_00285 	  PF06745.16
IHEHHD_00285 	  PF13481.9
IHEHHD_00300 	 PF13392.9
IHEHHD_00375 	 PF16786.8
IHEHHD_00420 	 PF03245.16
BEFKDO_00125 	 PF00550.28
BEFKDO_00170 	 PF00805.25
BEFKDO_00170 	  PF00805.25
BEFKDO_00170 	  PF00805.25
BEFKDO_00265 	 PF04466.16
BEFKDO_00265 	  PF17289.5
BEFKDO_00345 	 PF12708.10
OCGHEF_00105 	 PF18352.4
OCGHEF_00580 	 PF05272.14
APDCNM_00180 	 PF18834.4
APDCNM_00185 	 PF07484.15
APDCNM_00220 	 PF01381.25
APDCNM_00220 	  PF13443.9
BELDJD_00140 	 PF13481.9
BELDJD_00170 	 PF00270.32
BELDJD_00170 	  PF00271.34
BELDJD_00200 	 PF07878.14
PCGAAD_00085 	 PF00990.24
PCGAAD_00085 	  PF18857.4
PCGAAD_00095 	 PF13610.9
PCGAAD_00115 	 PF13392.9
PCGAAD_00280 	 PF07589.14
HEKPEL_00110 	 PF12835.10
HEKPEL_00215 	 PF00145.20
HEKPEL_00235 	 PF13384.9
HEKPEL_00270 	 PF07463.14
HEKPEL_00270 	  PF13392.9
HEKPEL_00285 	 PF10544.12
HEKPEL_00290 	 PF01381.25
HEKPEL_00375 	 PF13392.9
HEKPEL_00475 	 PF17963.4
KMNMED_00065 	 PF00717.26
KMNMED_00270 	 PF13287.9
KMNMED_00270 	  PF13287.9
KMNMED_00270 	  PF13287.9
KMNMED_00270 	  PF13290.9
KMNMED_00270 	  PF13290.9
KMNMED_00270 	  PF13290.9
KMNMED_00270 	  PF13385.9
KMNMED_00270 	  PF13385.9
KMNMED_00325 	 PF00176.26
KMNMED_00325 	  PF18823.4
KMNMED_00420 	 PF13619.9
OHIAEP_00030 	 PF13392.9
OHIAEP_00060 	 PF09152.13
OHIAEP_00070 	 PF00149.31
OHIAEP_00085 	 PF02739.19
OHIAEP_00105 	 PF04545.19
OHIAEP_00135 	 PF01612.23
OHIAEP_00215 	 PF13230.9
OHIAEP_00215 	  PF13522.9
OHIAEP_00215 	  PF13537.9
OHIAEP_00240 	 PF00117.31
OHIAEP_00240 	  PF07722.16
OHIAEP_00335 	 PF00166.24
OHIAEP_00420 	 PF13229.9
OHIAEP_00420 	  PF13229.9
NHDNGA_00070 	 PF04466.16
NHDNGA_00085 	 PF01464.23
NHDNGA_00130 	 PF01464.23
NHDNGA_00310 	 PF13385.9
ANGPBH_00015 	 PF01381.25
ANGPBH_00015 	  PF13560.9
ANGPBH_00085 	 PF01381.25
ANGPBH_00155 	 PF13395.9
ANGPBH_00155 	  PF14279.9
ANGPBH_00215 	 PF13550.9
ANGPBH_00275 	 PF05135.16
ANGPBH_00310 	 PF17288.5
INGLAJ_00215 	 PF13479.9
INGLAJ_00220 	 PF13479.9
INGLAJ_00230 	 PF09250.14
INGLAJ_00250 	 PF13481.9
EJEOCO_00065 	 PF18013.4
EJEOCO_00140 	 PF13884.9
EJEOCO_00220 	 PF13245.9
EJEOCO_00220 	  PF13538.9
EJEOCO_00220 	  PF13604.9
EJEOCO_00240 	 PF00271.34
HALMIP_00115 	 PF00004.32
HALMIP_00115 	  PF07728.17
HALMIP_00135 	 PF09967.12
HALMIP_00135 	  PF13203.9
HALMIP_00155 	 PF00004.32
HALMIP_00195 	 PF00226.34
HALMIP_00220 	 PF16473.8
HALMIP_00370 	 PF00959.22
HALMIP_00375 	 PF08447.15
HALMIP_00375 	  PF08448.13
DAEGAL_00005 	 PF01476.23
DAEGAL_00035 	 PF17482.5
DAEGAL_00125 	 PF18454.4
DAEGAL_00140 	 PF18454.4
DAEGAL_00145 	 PF18454.4
DAEGAL_00150 	 PF18454.4
DAEGAL_00165 	 PF01381.25
DAEGAL_00165 	  PF12844.10
DAEGAL_00165 	  PF13560.9
DAEGAL_00200 	 PF13392.9
DAEGAL_00290 	 PF12684.10
DAEGAL_00355 	 PF04717.15
DNGHIJ_00035 	 PF13481.9
DNGHIJ_00045 	 PF09250.14
DNGHIJ_00230 	 PF18352.4
DNGHIJ_00360 	 PF17289.5
GCGMFL_00010 	 PF13481.9
GCGMFL_00055 	 PF00847.23
GCGMFL_00055 	  PF13392.9
GCGMFL_00065 	 PF00717.26
GCGMFL_00135 	 PF01402.24
GCGMFL_00255 	 PF13229.9
GCGMFL_00305 	 PF05838.15
GCGMFL_00380 	 PF02357.22
FCAGKN_00075 	 PF13472.9
FCAGKN_00125 	 PF05272.14
FCAGKN_00135 	 PF09250.14
FCAGKN_00145 	 PF18836.4
FCAGKN_00145 	  PF18836.4
FCAGKN_00145 	  PF18836.4
FCAGKN_00145 	  PF18836.4
FCAGKN_00145 	  PF18836.4
FCAGKN_00270 	 PF13395.9
FCAGKN_00270 	  PF14279.9
FCAGKN_00335 	 PF18814.4
FCAGKN_00340 	 PF18834.4
FCAGKN_00345 	 PF01464.23
NMFIBN_00075 	 PF01464.23
NMFIBN_00175 	 PF13392.9
NMFIBN_00180 	 PF13392.9
NMFIBN_00215 	 PF12705.10
NMFIBN_00260 	 PF01381.25
NMFIBN_00260 	  PF12844.10
NMFIBN_00260 	  PF13560.9
FEACAP_00005 	 PF00271.34
FEACAP_00170 	 PF01464.23
FEACAP_00280 	 PF00805.25
FEACAP_00280 	  PF00805.25
FEACAP_00350 	 PF05203.19
FEACAP_00360 	 PF18974.3
FEACAP_00420 	 PF05876.15
FEACAP_00450 	 PF00182.22
FEACAP_00560 	 PF13385.9
FEACAP_00695 	 PF18823.4
FEACAP_00700 	 PF00722.24
FEACAP_00705 	 PF07669.14
FEACAP_00705 	  PF18789.4
FEACAP_00710 	 PF00176.26
FEACAP_00710 	  PF14528.9
FEACAP_00715 	 PF00271.34
CLMCCE_00100 	 PF08299.14
CKCNCE_00050 	 PF12684.10
CKCNCE_00080 	 PF01381.25
CKCNCE_00080 	  PF14549.9
CKCNCE_00085 	 PF00772.24
CKCNCE_00085 	  PF13481.9
CKCNCE_00095 	 PF01381.25
JNLLNN_00090 	 PF13392.9
JNLLNN_00210 	 PF00436.28
JNLLNN_00230 	 PF13560.9
JNLLNN_00245 	 PF18836.4
JNLLNN_00245 	  PF18836.4
JNLLNN_00245 	  PF18836.4
JNLLNN_00245 	  PF18836.4
JNLLNN_00245 	  PF18836.4
JNLLNN_00245 	  PF18836.4
JNLLNN_00245 	  PF18836.4
EJLPCD_00075 	 PF13392.9
EJLPCD_00195 	 PF18836.4
EJLPCD_00195 	  PF18836.4
EJLPCD_00195 	  PF18836.4
EJLPCD_00195 	  PF18836.4
EJLPCD_00195 	  PF18836.4
EJLPCD_00195 	  PF18836.4
EJLPCD_00195 	  PF18836.4
EJLPCD_00195 	  PF18836.4
EJLPCD_00260 	 PF01807.23
MLHNBL_00005 	 PF13384.9
MLHNBL_00125 	 PF13884.9
MLHNBL_00150 	 PF18013.4
MLHNBL_00155 	 PF03629.21
MLHNBL_00180 	 PF13205.9
MLHNBL_00205 	 PF13365.9
MLHNBL_00385 	 PF00805.25
MLHNBL_00385 	  PF00805.25
MLHNBL_00385 	  PF13599.9
MLHNBL_00415 	 PF13730.9
OPDJDE_00025 	 PF00959.22
OPDJDE_00090 	 PF01541.27
OPDJDE_00145 	 PF02739.19
OPDJDE_00185 	 PF01612.23
OPDJDE_00205 	 PF03796.18
OPDJDE_00205 	  PF13481.9
OPDJDE_00250 	 PF13522.9
OPDJDE_00270 	 PF00117.31
OPDJDE_00270 	  PF07722.16
OPDJDE_00370 	 PF00166.24
OPDJDE_00435 	 PF08241.15
OPDJDE_00445 	 PF13385.9
BFEENG_00350 	 PF17289.5
