ILNFGC_00150 	 PF10926
ILNFGC_00155 	 PF10926
ILNFGC_00160 	 PF10991
ILNFGC_00180 	 PF00476
ILNFGC_00195 	 PF01381
ILNFGC_00205 	 PF00176
ILNFGC_00215 	 PF18838
ILNFGC_00290 	 PF13392
ILNFGC_00305 	 PF12571
ILNFGC_00340 	 PF19174
ILNFGC_00390 	 PF18454
ILNFGC_00415 	 PF20106
PLPEHB_00065 	 PF00805
PLPEHB_00075 	 PF05930
PLPEHB_00090 	 PF00271;PF01555
PLPEHB_00150 	 PF11041
PLPEHB_00155 	 PF04865
PLPEHB_00165 	 PF18946;PF18352
PLPEHB_00215 	 PF11863
PLPEHB_00235 	 PF13262
PLPEHB_00245 	 PF09950
PLPEHB_00255 	 PF09979
PLPEHB_00260 	 PF04233
PLPEHB_00265 	 PF06381
PLPEHB_00270 	 PF17289
PLPEHB_00280 	 PF05106
NGIJLK_00020 	 PF05866
NGIJLK_00050 	 PF13264
NGIJLK_00055 	 PF13264
NGIJLK_00115 	 PF04233
NGIJLK_00135 	 PF20557
NGIJLK_00160 	 PF13554
NGIJLK_00175 	 PF08813
NGIJLK_00185 	 PF08809
NGIJLK_00195 	 PF06791
NGIJLK_00300 	 PF07505
NGIJLK_00385 	 PF03837
KACNJC_00010 	 PF13884
KACNJC_00050 	 PF03567
KACNJC_00060 	 PF17236
KACNJC_00065 	 PF17236
KACNJC_00090 	 PF04466;PF17289
KACNJC_00140 	 PF08299
KACNJC_00160 	 PF02086
KACNJC_00165 	 PF02086
KACNJC_00255 	 PF07102
KACNJC_00330 	 PF00182
KACNJC_00355 	 PF13205
KACNJC_00375 	 PF03629
KACNJC_00380 	 PF07880
KACNJC_00390 	 PF18013
EDKGGP_00015 	 PF18798;PF04233
EDKGGP_00030 	 PF03864
EDKGGP_00060 	 PF20155
EDKGGP_00165 	 PF02272
EDKGGP_00195 	 PF05869
EDKGGP_00210 	 PF11753
EDKGGP_00275 	 PF05037
EDKGGP_00290 	 PF00271
EDKGGP_00300 	 PF00271;PF04851
EDKGGP_00315 	 PF05037
IHALGC_00020 	 PF07323
IHALGC_00075 	 PF10926
IHALGC_00085 	 PF10926;PF10991
IHALGC_00125 	 PF18909
IHALGC_00135 	 PF13482
IHALGC_00140 	 PF13482
IHALGC_00145 	 PF00959
IHALGC_00215 	 PF01464
IHALGC_00285 	 PF12236
IHALGC_00320 	 PF05272
IHALGC_00325 	 PF09250;PF05272
IHALGC_00330 	 PF09250;PF05272
FHBAPO_00015 	 PF04586
FHBAPO_00025 	 PF05065
FHBAPO_00065 	 PF05257;PF01476
FHBAPO_00075 	 PF04883
FHBAPO_00120 	 PF10145
FHBAPO_00175 	 PF01555
FHBAPO_00180 	 PF00271
FHBAPO_00260 	 PF08774
FHBAPO_00340 	 PF04860
FHBAPO_00355 	 PF04233;PF04860
KLNPJE_00045 	 PF12843
KLNPJE_00065 	 PF04480
KLNPJE_00085 	 PF05766
KLNPJE_00090 	 PF03796
KLNPJE_00095 	 PF00772;PF03796
KLNPJE_00100 	 PF01555;PF00176
KLNPJE_00155 	 PF01469
KLNPJE_00160 	 PF06908
KLNPJE_00240 	 PF02018;PF16403
KLNPJE_00345 	 PF11750
BJCJFN_00115 	 PF04466
BJCJFN_00150 	 PF05772
BJCJFN_00215 	 PF04404
BJCJFN_00225 	 PF11922;PF01507
BJCJFN_00235 	 PF06339;PF02195
KMDALE_00145 	 PF10926
KMDALE_00150 	 PF10926
KMDALE_00160 	 PF10991
KMDALE_00170 	 PF13392
KMDALE_00185 	 PF00476
KMDALE_00210 	 PF00176
KMDALE_00225 	 PF14359
KMDALE_00230 	 PF18909
KMDALE_00290 	 PF10263
IJLFBM_00055 	 PF01551
IJLFBM_00065 	 PF18798;PF18819;PF18812
IJLFBM_00085 	 PF12708
IJLFBM_00095 	 PF00959
IJLFBM_00115 	 PF19905
IJLFBM_00120 	 PF00176
IJLFBM_00155 	 PF00476
IJLFBM_00160 	 PF01555
IJLFBM_00170 	 PF10991
IJLFBM_00180 	 PF10926
IJLFBM_00185 	 PF10926
IJLFBM_00210 	 PF01469
IJLFBM_00235 	 PF15943
IJLFBM_00240 	 PF09250;PF05272
IJLFBM_00245 	 PF09250;PF05272
IJLFBM_00300 	 PF12236
IJLFBM_00350 	 PF01464
IJLFBM_00355 	 PF01551
IJLFBM_00370 	 PF12708;PF04650
IJLFBM_00380 	 PF00959
IJLFBM_00395 	 PF10073
IJLFBM_00400 	 PF19905
IJLFBM_00405 	 PF00176
IJLFBM_00440 	 PF00476
IJLFBM_00445 	 PF00476
