AKPDBN_00025 	 PF16786
AKPDBN_00030 	 PF19905
AKPDBN_00040 	 PF13392
AKPDBN_00060 	 PF17289
AKPDBN_00065 	 PF17289
AKPDBN_00070 	 PF17289
AKPDBN_00075 	 PF16510
AKPDBN_00080 	 PF16510
AKPDBN_00095 	 PF11651
AKPDBN_00120 	 PF11650
AKPDBN_00135 	 PF11134
AKPDBN_00140 	 PF11134
AKPDBN_00160 	 PF13392
AKPDBN_00205 	 PF09008;PF12708
AKPDBN_00220 	 PF05100
AKPDBN_00290 	 PF11195
AKPDBN_00305 	 PF00436
AKPDBN_00310 	 PF09588
AKPDBN_00315 	 PF04404
AKPDBN_00330 	 PF07120
NPAHDC_00020 	 PF16786
NPAHDC_00050 	 PF17289
NPAHDC_00055 	 PF16510
NPAHDC_00085 	 PF11650
NPAHDC_00105 	 PF11134
NPAHDC_00160 	 PF13229
NPAHDC_00185 	 PF13539
NPAHDC_00190 	 PF11351
NPAHDC_00260 	 PF00436
NPAHDC_00270 	 PF09588
NPAHDC_00275 	 PF04404
NPAHDC_00290 	 PF07120
NPAHDC_00295 	 PF20081
OCBHDE_00030 	 PF07505
OCBHDE_00040 	 PF13495;PF00589
OCBHDE_00070 	 PF01555
OCBHDE_00085 	 PF11672
OCBHDE_00090 	 PF09397
OCBHDE_00095 	 PF00929
OCBHDE_00105 	 PF09588
OCBHDE_00110 	 PF13392
OCBHDE_00115 	 PF03837
OCBHDE_00200 	 PF02086
OCBHDE_00215 	 PF00772;PF03796
OCBHDE_00235 	 PF01844
OCBHDE_00295 	 PF05838;PF09374
OCBHDE_00300 	 PF11351
OCBHDE_00350 	 PF13252
OCBHDE_00365 	 PF20387
OCBHDE_00370 	 PF13884
OCBHDE_00420 	 PF13884
OCBHDE_00425 	 PF01507
OCBHDE_00440 	 PF09669
OCBHDE_00455 	 PF18763
OCBHDE_00490 	 PF12167;PF00589
ANNGBH_00050 	 PF17289
ANNGBH_00075 	 PF13252
ANNGBH_00140 	 PF10983
ANNGBH_00155 	 PF00959
ANNGBH_00195 	 PF02796;PF00239
ANNGBH_00225 	 PF07799
ANNGBH_00245 	 PF01844
ANNGBH_00265 	 PF04404
ANNGBH_00310 	 PF01555
ANNGBH_00325 	 PF09926
ANNGBH_00335 	 PF02357
KEMGGI_00075 	 PF07505
KEMGGI_00180 	 PF13539
KEMGGI_00190 	 PF13229
KEMGGI_00200 	 PF08291
KEMGGI_00220 	 PF11134
KEMGGI_00225 	 PF11650
KEMGGI_00240 	 PF11651
KEMGGI_00250 	 PF16510
KEMGGI_00255 	 PF16510
KEMGGI_00290 	 PF13860
KEMGGI_00310 	 PF10544
KEMGGI_00325 	 PF08774
DMMFME_00025 	 PF00589
DMMFME_00040 	 PF13392;PF07463
DMMFME_00050 	 PF13876
DMMFME_00105 	 PF07120
DMMFME_00115 	 PF07505
DMMFME_00140 	 PF01381
DMMFME_00190 	 PF09588
DMMFME_00290 	 PF07679
DMMFME_00325 	 PF13252
DMMFME_00340 	 PF20387
DMMFME_00345 	 PF12708
GKHBKI_00005 	 PF19062;PF00805
GKHBKI_00160 	 PF00182
GKHBKI_00185 	 PF03629
GKHBKI_00195 	 PF18013
GKHBKI_00215 	 PF13884
GKHBKI_00245 	 PF03567
GKHBKI_00255 	 PF17236
GKHBKI_00275 	 PF04466;PF17289
GKHBKI_00350 	 PF02086
HLABPO_00015 	 PF10983
HLABPO_00025 	 PF00959
HLABPO_00055 	 PF09190
HLABPO_00065 	 PF00239
HLABPO_00105 	 PF12323;PF01385;PF07282
HLABPO_00110 	 PF01844
HLABPO_00135 	 PF04404
HLABPO_00170 	 PF13876
HLABPO_00205 	 PF02357
HLABPO_00260 	 PF17236
HLABPO_00290 	 PF13550
JGEKPN_00005 	 PF02518;PF00512;PF01627;PF00072
JGEKPN_00010 	 PF04542;PF08281
JGEKPN_00015 	 PF02627
JGEKPN_00020 	 PF07690
JGEKPN_00025 	 PF00106
JGEKPN_00030 	 PF06719;PF12833
JGEKPN_00035 	 PF07992
JGEKPN_00040 	 PF00106
JGEKPN_00045 	 PF00561
JGEKPN_00050 	 PF01042
JGEKPN_00055 	 PF00126;PF03466
JGEKPN_00060 	 PF12852;PF12833
JGEKPN_00065 	 PF00561
JGEKPN_00075 	 PF03401
JGEKPN_00080 	 PF00126;PF03466
JGEKPN_00085 	 PF00126;PF03466
JGEKPN_00095 	 PF02627
JGEKPN_00100 	 PF00892
JGEKPN_00110 	 PF08279;PF13280
JGEKPN_00115 	 PF07978
JGEKPN_00120 	 PF00196;PF00072
JGEKPN_00125 	 PF05229
JGEKPN_00130 	 PF00345
JGEKPN_00135 	 PF00577
JGEKPN_00140 	 PF05229
JGEKPN_00145 	 PF02518;PF00512
JGEKPN_00150 	 PF01590;PF00990;PF08447;PF08448
JGEKPN_00155 	 PF00672;PF02518;PF00512
JGEKPN_00190 	 PF13458
JGEKPN_00195 	 PF12850
JGEKPN_00200 	 PF03720
JGEKPN_00220 	 PF00202
JGEKPN_00225 	 PF00202
JGEKPN_00235 	 PF13439
JGEKPN_00240 	 PF07690
JGEKPN_00260 	 PF00300
JGEKPN_00265 	 PF06299
JGEKPN_00280 	 PF05845
JGEKPN_00290 	 PF05861
JGEKPN_00300 	 PF06007
JGEKPN_00310 	 PF00005
JGEKPN_00330 	 PF00528
JGEKPN_00340 	 PF00005
JGEKPN_00345 	 PF00126;PF03466
JGEKPN_00350 	 PF00005
JGEKPN_00360 	 PF00528
JGEKPN_00365 	 PF00389;PF02826
JGEKPN_00370 	 PF01169
JGEKPN_00375 	 PF06779
JGEKPN_00385 	 PF07883
JGEKPN_00390 	 PF00111
JGEKPN_00395 	 PF00571
JGEKPN_00405 	 PF03631
JGEKPN_00410 	 PF20106
JGEKPN_00415 	 PF10096
JGEKPN_00420 	 PF13439;PF00534
JGEKPN_00425 	 PF01028
JGEKPN_00430 	 PF00534
JGEKPN_00435 	 PF01075
JGEKPN_00440 	 PF00535
JGEKPN_00445 	 PF16861;PF02543
JGEKPN_00450 	 PF01075
JGEKPN_00460 	 PF13439;PF00534
JGEKPN_00470 	 PF13439
