HNKBCC_00010 	 PF12684.10
HNKBCC_00040 	 PF01381.25
HNKBCC_00040 	  PF14549.9
HNKBCC_00045 	 PF00772.24
HNKBCC_00045 	  PF13481.9
HNKBCC_00055 	 PF01381.25
JMKIPC_00070 	 PF18454.4
JMKIPC_00085 	 PF18454.4
JMKIPC_00090 	 PF18454.4
JMKIPC_00095 	 PF18454.4
JMKIPC_00110 	 PF01381.25
JMKIPC_00110 	  PF12844.10
JMKIPC_00110 	  PF13560.9
JMKIPC_00150 	 PF13392.9
JMKIPC_00175 	 PF00004.32
JMKIPC_00175 	  PF01695.20
JMKIPC_00230 	 PF12684.10
JMKIPC_00305 	 PF01476.23
CHAPDH_00150 	 PF08960.13
CHAPDH_00200 	 PF05876.15
CHAPDH_00275 	 PF08748.14
CHAPDH_00275 	  PF08809.14
CHAPDH_00290 	 PF09718.13
CHAPDH_00380 	 PF13476.9
CHAPDH_00380 	  PF13514.9
CHAPDH_00430 	 PF02739.19
CHAPDH_00460 	 PF03819.20
CHAPDH_00490 	 PF00176.26
DIGCNK_00300 	 PF08774.14
DIGCNK_00305 	 PF11325.11
DIGCNK_00355 	 PF03796.18
DIGCNK_00355 	  PF13481.9
DIGCNK_00375 	 PF17289.5
BONCOB_00055 	 PF13884.9
BONCOB_00060 	 PF12708.10
BONCOB_00110 	 PF01464.23
BONCOB_00185 	 PF14549.9
BONCOB_00245 	 PF00166.24
PMBBPG_00095 	 PF20081.2
PMBBPG_00215 	 PF08774.14
JJPLEO_00050 	 PF03796.18
JJPLEO_00050 	  PF06745.16
JJPLEO_00050 	  PF13481.9
JJPLEO_00185 	 PF13392.9
JJPLEO_00245 	 PF18812.4
JJPLEO_00250 	 PF18857.4
JJPLEO_00345 	 PF16786.8
MIGBPK_00050 	 PF08299.14
MIGBPK_00060 	 PF13730.9
MIGBPK_00085 	 PF00805.25
MIGBPK_00235 	 PF13365.9
MIGBPK_00260 	 PF13205.9
MIGBPK_00275 	 PF03629.21
MIGBPK_00285 	 PF18013.4
MIGBPK_00305 	 PF13884.9
LLPJGA_00155 	 PF02954.22
LLPJGA_00210 	 PF20557.1
LLPJGA_00320 	 PF01381.25
LLPJGA_00330 	 PF01381.25
LLPJGA_00330 	  PF12844.10
LLPJGA_00330 	  PF13560.9
LLPJGA_00380 	 PF00270.32
LLPJGA_00380 	  PF00271.34
LLPJGA_00385 	 PF00176.26
LLPJGA_00400 	 PF12965.10
LLPJGA_00410 	 PF06048.14
LLPJGA_00410 	  PF18662.4
OJIHLF_00155 	 PF13385.9
OJIHLF_00185 	 PF00847.23
OJIHLF_00185 	  PF13392.9
OJIHLF_00220 	 PF00847.23
OJIHLF_00220 	  PF13392.9
OJIHLF_00285 	 PF00271.34
OJIHLF_00295 	 PF13479.9
OJIHLF_00310 	 PF13362.9
PAMBAF_00065 	 PF05272.14
PAMBAF_00075 	 PF08281.15
PAMBAF_00210 	 PF13550.9
PAMBAF_00215 	 PF00041.24
PAMBAF_00285 	 PF12167.11
PEMHJO_00120 	 PF00436.28
PEMHJO_00295 	 PF13472.9
AJLNJN_00155 	 PF07878.14
AJLNJN_00185 	 PF00270.32
AJLNJN_00185 	  PF00271.34
AJLNJN_00215 	 PF13481.9
AJLNJN_00220 	 PF13481.9
GLEICP_00035 	 PF16190.8
GLEICP_00035 	  PF16190.8
GLEICP_00045 	 PF01464.23
GLEICP_00060 	 PF12708.10
GLEICP_00065 	 PF00959.22
GLEICP_00125 	 PF12760.10
GLEICP_00210 	 PF20530.1
GLEICP_00245 	 PF01047.25
GLEICP_00245 	  PF13412.9
GLEICP_00245 	  PF13463.9
GLEICP_00280 	 PF13505.9
GLEICP_00295 	 PF00196.22
GLEICP_00295 	  PF13384.9
MPLNOF_00050 	 PF08924.14
MPLNOF_00205 	 PF19889.2
MPLNOF_00220 	 PF13395.9
MPLNOF_00220 	  PF14279.9
MPLNOF_00225 	 PF08299.14
MPLNOF_00275 	 PF13392.9
BFDCIA_00010 	 PF18834.4
BFDCIA_00015 	 PF07484.15
BFDCIA_00050 	 PF01381.25
BFDCIA_00050 	  PF13443.9
BFDCIA_00050 	  PF13560.9
EAHMOL_00105 	 PF13392.9
EAHMOL_00170 	 PF01807.23
EAHMOL_00240 	 PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
EAHMOL_00240 	  PF18836.4
MKHOGK_00070 	 PF18925.3
MKHOGK_00085 	 PF07484.15
MKHOGK_00255 	 PF02767.19
MKHOGK_00265 	 PF00717.26
MKHOGK_00305 	 PF00805.25
MKHOGK_00305 	  PF00805.25
MKHOGK_00305 	  PF00805.25
MKHOGK_00305 	  PF13576.9
MKHOGK_00305 	  PF13599.9
ILKKOG_00035 	 PF00271.34
ILKKOG_00095 	 PF09250.14
ILKKOG_00100 	 PF13481.9
ILKKOG_00325 	 PF18352.4
ILKKOG_00340 	 PF18946.3
HIECMG_00035 	 PF04545.19
HIECMG_00035 	  PF08281.15
HIECMG_00070 	 PF03819.20
HIECMG_00110 	 PF02739.19
HIECMG_00155 	 PF13476.9
HIECMG_00155 	  PF13514.9
HIECMG_00190 	 PF13385.9
HIECMG_00190 	  PF13550.9
HIECMG_00210 	 PF01464.23
HIECMG_00220 	 PF08809.14
HIECMG_00225 	 PF08748.14
HIECMG_00235 	 PF13384.9
HIECMG_00265 	 PF01541.27
HIECMG_00265 	  PF07460.14
HIECMG_00265 	  PF07460.14
HIECMG_00325 	 PF05876.15
HIECMG_00605 	 PF00176.26
BGNLGP_00030 	 PF04545.19
BGNLGP_00065 	 PF03819.20
BGNLGP_00105 	 PF02739.19
BGNLGP_00145 	 PF13476.9
BGNLGP_00145 	  PF13514.9
BGNLGP_00180 	 PF13385.9
BGNLGP_00180 	  PF13550.9
BGNLGP_00200 	 PF01464.23
BGNLGP_00205 	 PF08809.14
BGNLGP_00210 	 PF08748.14
BGNLGP_00220 	 PF13384.9
BGNLGP_00250 	 PF01541.27
BGNLGP_00250 	  PF07460.14
BGNLGP_00250 	  PF07460.14
BGNLGP_00310 	 PF05876.15
BGNLGP_00585 	 PF00176.26
IKJMPL_00020 	 PF20081.2
IKJMPL_00245 	 PF18796.4
IKJMPL_00245 	  PF18799.4
IKJMPL_00245 	  PF18857.4
