GCOMPG_00130 	 PF13392.9
GCOMPG_00200 	 PF13481.9
GCOMPG_00230 	 PF00436.28
GCOMPG_00255 	 PF18836.4
GCOMPG_00255 	  PF18836.4
GCOMPG_00255 	  PF18836.4
GCOMPG_00255 	  PF18836.4
GCOMPG_00255 	  PF18836.4
GCOMPG_00255 	  PF18836.4
LCIGFJ_00030 	 PF04466.16
LCIGFJ_00045 	 PF01464.23
LCIGFJ_00070 	 PF13479.9
LCIGFJ_00095 	 PF01464.23
LCIGFJ_00285 	 PF13385.9
HPJMFD_00010 	 PF00313.25
HPJMFD_00020 	 PF03796.18
HPJMFD_00020 	  PF03796.18
HPJMFD_00020 	  PF13481.9
HPJMFD_00100 	 PF14549.9
HPJMFD_00110 	 PF13401.9
HPJMFD_00110 	  PF13479.9
IEMHLI_00035 	 PF00293.31
IEMHLI_00130 	 PF18352.4
IEMHLI_00630 	 PF05272.14
JBJHMG_00025 	 PF13392.9
JBJHMG_00035 	 PF14090.9
JBJHMG_00070 	 PF13392.9
JBJHMG_00230 	 PF12760.10
JBJHMG_00305 	 PF03819.20
JBJHMG_00350 	 PF13395.9
MKHHHB_00055 	 PF13365.9
MKHHHB_00085 	 PF13205.9
MKHHHB_00100 	 PF03629.21
MKHHHB_00110 	 PF18013.4
MKHHHB_00140 	 PF13884.9
MKHHHB_00250 	 PF13384.9
BAKEGP_00235 	 PF13392.9
BAKEGP_00265 	 PF00386.24
ECNEIC_00070 	 PF18834.4
ECNEIC_00075 	 PF07484.15
ECNEIC_00110 	 PF01381.25
ECNEIC_00110 	  PF13443.9
ECNEIC_00110 	  PF13560.9
ECNEIC_00350 	 PF07484.15
ECNEIC_00385 	 PF01381.25
ECNEIC_00385 	  PF13443.9
ECNEIC_00385 	  PF13560.9
HBNNKP_00020 	 PF13229.9
HBNNKP_00070 	 PF05838.15
HBNNKP_00165 	 PF02357.22
HBNNKP_00170 	 PF13481.9
HBNNKP_00215 	 PF13392.9
HBNNKP_00225 	 PF00717.26
HBNNKP_00300 	 PF01402.24
HBNNKP_00415 	 PF12760.10
JKDNEJ_00150 	 PF03796.18
JKDNEJ_00155 	 PF03796.18
JKDNEJ_00155 	  PF06745.16
JKDNEJ_00155 	  PF13481.9
JKDNEJ_00160 	 PF00772.24
JKDNEJ_00390 	 PF08748.14
JKDNEJ_00430 	 PF05135.16
KNMOBN_00080 	 PF18836.4
KNMOBN_00080 	  PF18836.4
KNMOBN_00080 	  PF18836.4
KNMOBN_00080 	  PF18836.4
KNMOBN_00080 	  PF18836.4
KNMOBN_00080 	  PF18836.4
KNMOBN_00080 	  PF18836.4
KNMOBN_00080 	  PF18836.4
KNMOBN_00155 	 PF13479.9
KNMOBN_00165 	 PF01807.23
KNMOBN_00245 	 PF13392.9
IEKJBD_00160 	 PF16190.8
IEKJBD_00265 	 PF10544.12
IEKJBD_00295 	 PF13481.9
COFEFK_00330 	 PF00145.20
COFEFK_00330 	  PF13392.9
BGPLGB_00005 	 PF07602.14
BGPLGB_00025 	 PF20530.1
BGPLGB_00100 	 PF08299.14
BGPLGB_00120 	 PF20057.2
BGPLGB_00165 	 PF00486.31
JMJGMH_00200 	 PF13481.9
JMJGMH_00225 	 PF10544.12
JMJGMH_00330 	 PF16190.8
GBBFEM_00205 	 PF01381.25
GBBFEM_00205 	  PF13443.9
GBBFEM_00240 	 PF08299.14
