GCOMPG_00080 	 PF11860
GCOMPG_00110 	 PF10983
GCOMPG_00125 	 PF08291
GCOMPG_00130 	 PF13392
GCOMPG_00145 	 PF11134
GCOMPG_00150 	 PF11650
GCOMPG_00155 	 PF11651
GCOMPG_00165 	 PF16510
GCOMPG_00170 	 PF04466;PF17288
GCOMPG_00200 	 PF13148
GCOMPG_00205 	 PF01555
GCOMPG_00210 	 PF01541
GCOMPG_00230 	 PF00436
GCOMPG_00255 	 PF18836
PGNOJO_00035 	 PF04586
PGNOJO_00040 	 PF05065
PGNOJO_00070 	 PF04883
PGNOJO_00080 	 PF06199
PGNOJO_00200 	 PF00271;PF10571
PGNOJO_00205 	 PF04851
PGNOJO_00220 	 PF05037
LCIGFJ_00015 	 PF05069
LCIGFJ_00045 	 PF01464
LCIGFJ_00095 	 PF01464
LCIGFJ_00105 	 PF02899;PF00589
LCIGFJ_00280 	 PF01391
LCIGFJ_00300 	 PF00754
HPJMFD_00020 	 PF00772;PF03796
HPJMFD_00165 	 PF08774
HPJMFD_00170 	 PF00959
HPJMFD_00175 	 PF07087
HPJMFD_00195 	 PF10983
IEMHLI_00010 	 PF06381
IEMHLI_00015 	 PF06381
IEMHLI_00020 	 PF04233
IEMHLI_00025 	 PF04233
IEMHLI_00035 	 PF09979;PF00293
IEMHLI_00045 	 PF09979
IEMHLI_00055 	 PF09950
IEMHLI_00065 	 PF13262
IEMHLI_00085 	 PF11863
IEMHLI_00090 	 PF11863
IEMHLI_00130 	 PF18352
IEMHLI_00140 	 PF04865
IEMHLI_00145 	 PF11041
IEMHLI_00200 	 PF05257
IEMHLI_00250 	 PF10926
IEMHLI_00265 	 PF00271;PF04851
IEMHLI_00275 	 PF01555
IEMHLI_00285 	 PF19263
IEMHLI_00305 	 PF05869
IEMHLI_00335 	 PF03592
IEMHLI_00350 	 PF04233
IEMHLI_00375 	 PF09950
IEMHLI_00385 	 PF13262
IEMHLI_00440 	 PF18352
IEMHLI_00445 	 PF18352
IEMHLI_00455 	 PF04865
IEMHLI_00460 	 PF11041
IEMHLI_00520 	 PF05257
IEMHLI_00585 	 PF10926
IEMHLI_00600 	 PF00271;PF04851
IEMHLI_00610 	 PF01555
IEMHLI_00625 	 PF19263
IEMHLI_00630 	 PF19263
IEMHLI_00650 	 PF05869
IEMHLI_00680 	 PF03592
JBJHMG_00015 	 PF04404
JBJHMG_00020 	 PF09588
JBJHMG_00045 	 PF06356
JBJHMG_00060 	 PF03796;PF13662
JBJHMG_00075 	 PF03592
JBJHMG_00080 	 PF04466;PF17288
JBJHMG_00085 	 PF16510
JBJHMG_00125 	 PF11134
JBJHMG_00195 	 PF11860
JBJHMG_00230 	 PF12762;PF12760
JBJHMG_00255 	 PF06442
JBJHMG_00325 	 PF00589
JBJHMG_00330 	 PF12728
JBJHMG_00350 	 PF01844
MKHHHB_00070 	 PF00182
MKHHHB_00085 	 PF13205;PF13946;PF00353
MKHHHB_00100 	 PF03629
MKHHHB_00110 	 PF18013
MKHHHB_00140 	 PF13884
MKHHHB_00175 	 PF03567
MKHHHB_00185 	 PF17236
MKHHHB_00210 	 PF04466;PF17289
MKHHHB_00285 	 PF02086
MKHHHB_00295 	 PF19062
BAKEGP_00015 	 PF12728
BAKEGP_00065 	 PF00436
BAKEGP_00075 	 PF09588
BAKEGP_00080 	 PF04404
BAKEGP_00100 	 PF07120
BAKEGP_00115 	 PF05772
BAKEGP_00135 	 PF16786
BAKEGP_00160 	 PF17289
BAKEGP_00165 	 PF16510
BAKEGP_00205 	 PF11134
BAKEGP_00235 	 PF13392
BAKEGP_00255 	 PF05048
BAKEGP_00290 	 PF08291
ECNEIC_00055 	 PF16190
ECNEIC_00075 	 PF07484
ECNEIC_00110 	 PF01381
ECNEIC_00130 	 PF05565
ECNEIC_00135 	 PF03837
ECNEIC_00225 	 PF03592
ECNEIC_00255 	 PF00583
ECNEIC_00265 	 PF12236
ECNEIC_00325 	 PF16190
ECNEIC_00350 	 PF07484
ECNEIC_00385 	 PF01381
ECNEIC_00405 	 PF05565
ECNEIC_00410 	 PF03837
ECNEIC_00500 	 PF03592
ECNEIC_00530 	 PF00583
ECNEIC_00540 	 PF12236
HBNNKP_00010 	 PF13539
HBNNKP_00020 	 PF13229
HBNNKP_00070 	 PF05838;PF09374
HBNNKP_00115 	 PF13252
HBNNKP_00135 	 PF04466;PF17288
HBNNKP_00160 	 PF01555
HBNNKP_00165 	 PF02357
HBNNKP_00190 	 PF07750
HBNNKP_00215 	 PF00847
HBNNKP_00225 	 PF00717
HBNNKP_00275 	 PF04098
HBNNKP_00280 	 PF05772
HBNNKP_00290 	 PF13935
HBNNKP_00300 	 PF01402
HBNNKP_00360 	 PF00589
HBNNKP_00415 	 PF12762;PF12760
JKDNEJ_00005 	 PF10983
JKDNEJ_00025 	 PF05838;PF09374
JKDNEJ_00035 	 PF20387
JKDNEJ_00050 	 PF13252
JKDNEJ_00055 	 PF13252
JKDNEJ_00065 	 PF11195
JKDNEJ_00125 	 PF05766
JKDNEJ_00140 	 PF01844
JKDNEJ_00145 	 PF01844;PF18780
JKDNEJ_00150 	 PF00772;PF03796
JKDNEJ_00155 	 PF00772;PF03796
JKDNEJ_00160 	 PF00772;PF03796
JKDNEJ_00280 	 PF00436
JKDNEJ_00285 	 PF00176
JKDNEJ_00390 	 PF08748
JKDNEJ_00395 	 PF08813
JKDNEJ_00400 	 PF11367
JKDNEJ_00410 	 PF05521
JKDNEJ_00430 	 PF05135
KNMOBN_00010 	 PF11860
KNMOBN_00025 	 PF15956
KNMOBN_00035 	 PF12762;PF12760
KNMOBN_00080 	 PF04519
KNMOBN_00120 	 PF00271
KNMOBN_00140 	 PF09588
KNMOBN_00165 	 PF13148;PF01807
KNMOBN_00170 	 PF13148
KNMOBN_00195 	 PF04466;PF17288
KNMOBN_00200 	 PF16510
KNMOBN_00210 	 PF11651
KNMOBN_00215 	 PF11650
KNMOBN_00220 	 PF11134
KNMOBN_00230 	 PF11134
KNMOBN_00245 	 PF13392
KNMOBN_00250 	 PF01464
IEKJBD_00005 	 PF07505
IEKJBD_00115 	 PF13539
IEKJBD_00125 	 PF13229
IEKJBD_00165 	 PF11134
IEKJBD_00170 	 PF11650
IEKJBD_00185 	 PF11651
IEKJBD_00195 	 PF16510
IEKJBD_00205 	 PF04466
IEKJBD_00245 	 PF13860
IEKJBD_00265 	 PF10544
IEKJBD_00280 	 PF08774
COFEFK_00085 	 PF16473
COFEFK_00090 	 PF05876;PF20454
COFEFK_00110 	 PF05136
COFEFK_00115 	 PF05136
