PFMPJB_00005 	 PF13229
PFMPJB_00010 	 PF19174
PFMPJB_00045 	 PF05118
PFMPJB_00090 	 PF11650
PFMPJB_00110 	 PF03819
PFMPJB_00130 	 PF11651
PFMPJB_00140 	 PF16510
PFMPJB_00170 	 PF04466;PF17288
PFMPJB_00180 	 PF01610;PF13542;PF14690
PFMPJB_00235 	 PF00805
PFMPJB_00275 	 PF05772
PFMPJB_00285 	 PF02945
PFMPJB_00290 	 PF20081
PFMPJB_00315 	 PF06378
PFMPJB_00325 	 PF05257
PNKMIC_00025 	 PF01551
PNKMIC_00045 	 PF09643
PNKMIC_00050 	 PF09643
PNKMIC_00090 	 PF12728
PNKMIC_00095 	 PF03837
PNKMIC_00100 	 PF13392
PNKMIC_00110 	 PF09588
PNKMIC_00125 	 PF00145
PNKMIC_00130 	 PF00271;PF04851
PNKMIC_00140 	 PF05272
PNKMIC_00175 	 PF14528
PNKMIC_00180 	 PF00583
PNKMIC_00190 	 PF12236
PNKMIC_00255 	 PF18834
KMDOHP_00005 	 PF01973
KMDOHP_00025 	 PF13884
KMDOHP_00090 	 PF08924
KMDOHP_00170 	 PF06147;PF04098
KMDOHP_00175 	 PF09588
KMDOHP_00180 	 PF04404
KMDOHP_00265 	 PF01381
KMDOHP_00275 	 PF00847;PF13392
KMDOHP_00290 	 PF12961
KMDOHP_00295 	 PF05866
KMDOHP_00310 	 PF00308;PF08299;PF11638
KMDOHP_00315 	 PF01844
KMDOHP_00330 	 PF19889
KMDOHP_00345 	 PF04466
KMDOHP_00360 	 PF00622
KCEBEK_00010 	 PF20155
KCEBEK_00035 	 PF05939
KCEBEK_00055 	 PF10983
KCEBEK_00165 	 PF00271;PF01555
KCEBEK_00170 	 PF12965
KCEBEK_00175 	 PF12965
KCEBEK_00180 	 PF00145
KCEBEK_00215 	 PF06048;PF18662
KCEBEK_00235 	 PF20600
KCEBEK_00460 	 PF13264
KCEBEK_00470 	 PF04233
KCEBEK_00520 	 PF05521
KCEBEK_00530 	 PF11367
APCODD_00005 	 PF18906
APCODD_00025 	 PF20039
APCODD_00085 	 PF13946
APCODD_00195 	 PF00271;PF04851
APCODD_00215 	 PF05037
APCODD_00230 	 PF00805
APCODD_00240 	 PF13362
APCODD_00260 	 PF20057
APCODD_00290 	 PF05876;PF20454
APCODD_00300 	 PF05136
APCODD_00310 	 PF04586;PF05065
IPAGDK_00010 	 PF00145
IPAGDK_00040 	 PF13392
IPAGDK_00045 	 PF04404
IPAGDK_00050 	 PF00436
IPAGDK_00055 	 PF07105
IPAGDK_00115 	 PF00589
IPAGDK_00195 	 PF05838;PF09374
IPAGDK_00210 	 PF08205
IPAGDK_00245 	 PF01464
IPAGDK_00330 	 PF08299
IPAGDK_00350 	 PF05866
EJCINK_00040 	 PF06067
EJCINK_00045 	 PF07799
EJCINK_00125 	 PF00436
EJCINK_00130 	 PF13392
EJCINK_00140 	 PF00092
EJCINK_00160 	 PF09588
EJCINK_00220 	 PF16786
EJCINK_00240 	 PF00959
EJCINK_00505 	 PF18857;PF18819
EEEOPH_00005 	 PF00082
EEEOPH_00050 	 PF10651
EEEOPH_00080 	 PF13264
EEEOPH_00140 	 PF04883
EEEOPH_00165 	 PF09343
EEEOPH_00175 	 PF09931;PF09356
EEEOPH_00185 	 PF13550
EEEOPH_00270 	 PF05869
EEEOPH_00310 	 PF00176
BAHJEI_00030 	 PF14279
BAHJEI_00080 	 PF00436
BAHJEI_00085 	 PF09588
BAHJEI_00090 	 PF09588
BAHJEI_00095 	 PF03837
BAHJEI_00115 	 PF20081
BAHJEI_00135 	 PF17289
BAHJEI_00140 	 PF16510
BAHJEI_00150 	 PF09306
BAHJEI_00155 	 PF11651
BAHJEI_00175 	 PF11134
BAHJEI_00210 	 PF12571
BAHJEI_00225 	 PF00959
BAHJEI_00230 	 PF05048
BAHJEI_00235 	 PF08774
BAHJEI_00240 	 PF11753
COAFMD_00100 	 PF00565
COAFMD_00110 	 PF04466
COAFMD_00175 	 PF17236
COAFMD_00255 	 PF07087
COAFMD_00260 	 PF05838;PF09374
