PAMBAF_00005 	 PF00436
PAMBAF_00065 	 PF05272
PAMBAF_00095 	 PF05876;PF20454
PAMBAF_00110 	 PF12904
PAMBAF_00130 	 PF05136
PAMBAF_00140 	 PF04586;PF05065
PAMBAF_00160 	 PF06141
PAMBAF_00165 	 PF08813
PAMBAF_00195 	 PF13229;PF12708
PAMBAF_00210 	 PF13550
PAMBAF_00215 	 PF00041
PAMBAF_00250 	 PF18925
PAMBAF_00280 	 PF00589
PAMBAF_00300 	 PF07799
PEMHJO_00010 	 PF13264
PEMHJO_00025 	 PF13539
PEMHJO_00030 	 PF05838;PF09374
PEMHJO_00090 	 PF05772
PEMHJO_00095 	 PF20081
PEMHJO_00100 	 PF07120
PEMHJO_00110 	 PF04404
PEMHJO_00115 	 PF09588
PEMHJO_00125 	 PF00436
PEMHJO_00130 	 PF11753
PEMHJO_00200 	 PF13550
PEMHJO_00205 	 PF09931;PF09356
PEMHJO_00260 	 PF18906
PEMHJO_00265 	 PF18906
PEMHJO_00290 	 PF20557
PEMHJO_00295 	 PF13472
PEMHJO_00305 	 PF20036
AJLNJN_00005 	 PF11650
AJLNJN_00020 	 PF11134
AJLNJN_00095 	 PF13539
AJLNJN_00100 	 PF11351
AJLNJN_00165 	 PF08774
AJLNJN_00175 	 PF16473
AJLNJN_00185 	 PF00271;PF04851
AJLNJN_00190 	 PF05037
AJLNJN_00230 	 PF02195
AJLNJN_00235 	 PF01555;PF02195
AJLNJN_00250 	 PF04466;PF17288
AJLNJN_00255 	 PF16510
AJLNJN_00260 	 PF16510
AJLNJN_00265 	 PF16510
AJLNJN_00275 	 PF11651
GLEICP_00020 	 PF01842;PF20463;PF02153
GLEICP_00035 	 PF16190
GLEICP_00065 	 PF00959
GLEICP_00110 	 PF14216
GLEICP_00120 	 PF02796;PF00239
GLEICP_00160 	 PF01381;PF06114
GLEICP_00220 	 PF01844
GLEICP_00245 	 PF01047
GLEICP_00280 	 PF13505
GLEICP_00305 	 PF07120
GLEICP_00325 	 PF19889
GLEICP_00375 	 PF12236
GLEICP_00390 	 PF19821
MPLNOF_00050 	 PF08924
MPLNOF_00070 	 PF01527
