KMBKOD_00040 	 PF18834.4
KMBKOD_00055 	 PF08291.14
KMBKOD_00125 	 PF09643.13
KMBKOD_00190 	 PF00271.34
KMBKOD_00190 	  PF13401.9
KMBKOD_00205 	 PF05272.14
KMBKOD_00240 	 PF13505.9
KMBKOD_00270 	 PF05118.18
EBOGHI_00110 	 PF07484.15
EBOGHI_00135 	 PF18352.4
EBOGHI_00160 	 PF18013.4
EBOGHI_00210 	 PF18974.3
EBOGHI_00300 	 PF10544.12
EBOGHI_00335 	 PF13392.9
EBOGHI_00400 	 PF00271.34
LFOJED_00060 	 PF13392.9
LFOJED_00195 	 PF01402.24
BHGCIG_00075 	 PF04266.17
BHGCIG_00180 	 PF05876.15
BHGCIG_00180 	  PF20454.1
BHGCIG_00220 	 PF04984.17
BHGCIG_00220 	  PF17482.5
BHGCIG_00250 	 PF06890.15
PGMHMM_00055 	 PF01541.27
PGMHMM_00055 	  PF07460.14
PGMHMM_00075 	 PF13392.9
PGMHMM_00085 	 PF13619.9
PGMHMM_00200 	 PF13392.9
PGMHMM_00365 	 PF18823.4
PGMHMM_00465 	 PF13871.9
PGMHMM_00465 	  PF13872.9
PGMHMM_00470 	 PF13871.9
PGMHMM_00490 	 PF00959.22
