AKPDBN_00040 	 PF13392.9
AKPDBN_00070 	 PF17289.5
AKPDBN_00160 	 PF13392.9
AKPDBN_00215 	 PF13884.9
AKPDBN_00305 	 PF00436.28
NPAHDC_00020 	 PF16786.8
NPAHDC_00120 	 PF13392.9
OCBHDE_00005 	 PF12167.11
OCBHDE_00090 	 PF09397.13
OCBHDE_00110 	 PF13392.9
OCBHDE_00465 	 PF18853.4
OCBHDE_00470 	 PF18853.4
ANNGBH_00195 	 PF00239.24
ANNGBH_00335 	 PF02357.22
KEMGGI_00010 	 PF13481.9
KEMGGI_00215 	 PF16190.8
KEMGGI_00310 	 PF10544.12
DMMFME_00040 	 PF07463.14
DMMFME_00040 	  PF13392.9
DMMFME_00140 	 PF01381.25
DMMFME_00140 	  PF12844.10
DMMFME_00140 	  PF13560.9
DMMFME_00405 	 PF18796.4
DMMFME_00405 	  PF18853.4
GKHBKI_00005 	 PF00805.25
GKHBKI_00005 	  PF00805.25
GKHBKI_00005 	  PF13599.9
GKHBKI_00145 	 PF13365.9
GKHBKI_00170 	 PF13205.9
GKHBKI_00185 	 PF03629.21
GKHBKI_00195 	 PF18013.4
GKHBKI_00215 	 PF13884.9
GKHBKI_00330 	 PF13730.9
HLABPO_00025 	 PF00959.22
HLABPO_00165 	 PF01381.25
HLABPO_00165 	  PF12844.10
HLABPO_00165 	  PF13560.9
HLABPO_00220 	 PF01381.25
HLABPO_00220 	  PF13518.9
JGEKPN_00050 	 PF01042.24
JGEKPN_00135 	 PF13953.9
JGEKPN_00145 	 PF00512.28
JGEKPN_00145 	  PF00672.28
JGEKPN_00145 	  PF02518.29
JGEKPN_00225 	 PF00202.24
JGEKPN_00245 	 PF00224.24
JGEKPN_00270 	 PF07702.16
JGEKPN_00380 	 PF00903.28
JGEKPN_00380 	  PF12680.10
JGEKPN_00415 	 PF04321.20
JGEKPN_00415 	  PF16363.8
JGEKPN_00440 	 PF13632.9
JGEKPN_00440 	  PF13641.9
JGEKPN_00495 	 PF00106.28
JGEKPN_00495 	  PF13561.9
JGEKPN_00515 	 PF07332.14
JGEKPN_00585 	 PF01814.26
JGEKPN_00590 	 PF13487.9
JGEKPN_00650 	 PF00571.31
JGEKPN_00650 	  PF00571.31
JGEKPN_00680 	 PF05023.17
JGEKPN_00730 	 PF13091.9
JGEKPN_00730 	  PF13091.9
JGEKPN_00790 	 PF02735.19
JGEKPN_00800 	 PF07992.17
JGEKPN_00800 	  PF07992.17
JGEKPN_00800 	  PF13450.9
JGEKPN_00820 	 PF00072.27
JGEKPN_00820 	  PF00512.28
JGEKPN_00820 	  PF00989.28
JGEKPN_00820 	  PF02518.29
JGEKPN_00820 	  PF08447.15
JGEKPN_00820 	  PF08448.13
JGEKPN_00820 	  PF13426.10
JGEKPN_00820 	  PF13493.9
JGEKPN_00825 	 PF10531.12
JGEKPN_00825 	  PF10531.12
JGEKPN_00830 	 PF01656.26
JGEKPN_00830 	  PF13614.9
JGEKPN_00840 	 PF13641.9
JGEKPN_00865 	 PF12804.10
JGEKPN_00875 	 PF13439.9
JGEKPN_00875 	  PF13524.9
JGEKPN_00875 	  PF13579.9
JGEKPN_00875 	  PF13692.9
JGEKPN_00890 	 PF12708.10
JGEKPN_00890 	  PF13229.9
JGEKPN_01115 	 PF12697.10
DDENJG_00025 	 PF10544.12
DDENJG_00075 	 PF04466.16
DDENJG_00080 	 PF04466.16
DDENJG_00130 	 PF16190.8
DDENJG_00305 	 PF00805.25
DDENJG_00305 	  PF00805.25
DDENJG_00305 	  PF00805.25
DDENJG_00370 	 PF13481.9
MAHNGD_00190 	 PF09250.14
ADAHHH_00205 	 PF01833.27
ADAHHH_00300 	 PF13392.9
ADAHHH_00375 	 PF01381.25
ADAHHH_00375 	  PF07022.16
OLCMHF_00065 	 PF17289.5
OLCMHF_00170 	 PF13392.9
OLCMHF_00225 	 PF12708.10
KJHIEP_00080 	 PF20441.1
KJHIEP_00255 	 PF00271.34
KJHIEP_00285 	 PF00717.26
KJHIEP_00330 	 PF00436.28
KJHIEP_00335 	 PF00436.28
KJHIEP_00380 	 PF00959.22
IDFAFF_00170 	 PF00176.26
IDFAFF_00265 	 PF13481.9
IDFAFF_00270 	 PF13481.9
BAPCCK_00055 	 PF01381.25
BAPCCK_00055 	  PF13443.9
BAPCCK_00055 	  PF13560.9
BAPCCK_00285 	 PF18834.4
DGJJDM_00005 	 PF00805.25
DGJJDM_00005 	  PF00805.25
DGJJDM_00085 	 PF05203.19
DGJJDM_00095 	 PF18974.3
DGJJDM_00115 	 PF16786.8
DGJJDM_00150 	 PF05876.15
DGJJDM_00295 	 PF13385.9
DGJJDM_00430 	 PF18823.4
DGJJDM_00435 	 PF00722.24
DGJJDM_00440 	 PF07669.14
DGJJDM_00440 	  PF18789.4
DGJJDM_00445 	 PF00176.26
DGJJDM_00445 	  PF14528.9
DGJJDM_00450 	 PF00271.34
DGJJDM_00620 	 PF01464.23
FFEGGM_00055 	 PF14090.9
FFEGGM_00085 	 PF13545.9
FFEGGM_00105 	 PF13392.9
FFEGGM_00255 	 PF12760.10
FFEGGM_00340 	 PF03819.20
FFEGGM_00395 	 PF13395.9
MBAPKB_00045 	 PF00004.32
MBAPKB_00090 	 PF05876.15
MBAPKB_00150 	 PF00149.31
MBAPKB_00165 	 PF13640.9
MBAPKB_00165 	  PF13661.9
MBAPKB_00180 	 PF03796.18
MBAPKB_00190 	 PF01612.23
MBAPKB_00190 	  PF03167.22
MBAPKB_00320 	 PF13578.9
MBAPKB_00385 	 PF00132.27
MBAPKB_00385 	  PF14602.9
MBAPKB_00390 	 PF00132.27
MBAPKB_00525 	 PF13443.9
MBAPKB_00755 	 PF00383.26
MBAPKB_00825 	 PF13578.9
MBAPKB_00870 	 PF04545.19
MBAPKB_00875 	 PF01068.24
MBAPKB_00875 	  PF14743.9
MBAPKB_00905 	 PF07676.15
MBAPKB_01055 	 PF00562.31
MBAPKB_01055 	  PF00623.23
MBAPKB_01055 	  PF14528.9
MBAPKB_01315 	 PF01391.21
HNCFJG_00065 	 PF18352.4
IEKOFL_00095 	 PF17288.5
IEKOFL_00165 	 PF06745.16
IEKOFL_00165 	  PF13481.9
IEKOFL_00180 	 PF09524.13
IEKOFL_00205 	 PF01381.25
IEKOFL_00205 	  PF13560.9
IEKOFL_00215 	 PF00805.25
IEKOFL_00215 	  PF00805.25
IEKOFL_00225 	 PF00805.25
IEKOFL_00225 	  PF00805.25
IEKOFL_00225 	  PF00805.25
IEKOFL_00270 	 PF16786.8
IEKOFL_00320 	 PF18902.3
IEKOFL_00335 	 PF05048.16
DPCDMC_00080 	 PF18454.4
DPCDMC_00145 	 PF13662.9
DPCDMC_00160 	 PF05272.14
DPCDMC_00180 	 PF13245.9
DPCDMC_00180 	  PF13604.9
DPCDMC_00190 	 PF16473.8
DPCDMC_00205 	 PF00145.20
DPCDMC_00245 	 PF20530.1
EOLEOD_00025 	 PF16473.8
EOLEOD_00050 	 PF00226.34
EOLEOD_00085 	 PF00004.32
EOLEOD_00090 	 PF12705.10
EOLEOD_00110 	 PF09967.12
EOLEOD_00110 	  PF13203.9
EOLEOD_00135 	 PF00004.32
EOLEOD_00135 	  PF07728.17
EOLEOD_00335 	 PF08447.15
EOLEOD_00335 	  PF08448.13
EOLEOD_00340 	 PF00959.22
KGGHBJ_00095 	 PF00270.32
KGGHBJ_00095 	  PF00271.34
LGGMED_00145 	 PF20081.2
LGGMED_00230 	 PF05118.18
HNBBME_00025 	 PF02357.22
HNBBME_00035 	 PF13481.9
HNBBME_00075 	 PF00847.23
HNBBME_00075 	  PF13392.9
HNBBME_00080 	 PF00717.26
HNBBME_00160 	 PF01402.24
HNBBME_00280 	 PF13229.9
DBJKNJ_00020 	 PF05175.17
DBJKNJ_00030 	 PF13392.9
DBJKNJ_00035 	 PF18857.4
DBJKNJ_00045 	 PF13610.9
DBJKNJ_00080 	 PF13392.9
DBJKNJ_00245 	 PF07589.14
DBJKNJ_00385 	 PF00182.22
AJKMEC_00015 	 PF01541.27
AJKMEC_00015 	  PF07460.14
AJKMEC_00015 	  PF07460.14
AJKMEC_00045 	 PF13384.9
AJKMEC_00055 	 PF08748.14
AJKMEC_00060 	 PF08809.14
AJKMEC_00065 	 PF01464.23
AJKMEC_00085 	 PF13385.9
AJKMEC_00085 	  PF13550.9
AJKMEC_00120 	 PF13476.9
AJKMEC_00120 	  PF13514.9
AJKMEC_00160 	 PF02739.19
AJKMEC_00200 	 PF03819.20
AJKMEC_00235 	 PF04545.19
AJKMEC_00285 	 PF00176.26
AJKMEC_00565 	 PF05876.15
NOAAAE_00030 	 PF05135.16
NOAAAE_00110 	 PF01381.25
NOAAAE_00110 	  PF13560.9
NOAAAE_00170 	 PF01381.25
NOAAAE_00245 	 PF13395.9
NOAAAE_00245 	  PF14279.9
NOAAAE_00275 	 PF13395.9
NOAAAE_00275 	  PF14279.9
NOAAAE_00320 	 PF13550.9
OFEFHM_00110 	 PF04466.16
OFEFHM_00125 	 PF01464.23
OFEFHM_00170 	 PF01464.23
OFEFHM_00350 	 PF13385.9
AGIHMI_00035 	 PF14549.9
AGIHMI_00240 	 PF00313.25
AGIHMI_00250 	 PF03796.18
AGIHMI_00250 	  PF03796.18
AGIHMI_00250 	  PF13481.9
AGIHMI_00260 	 PF13730.9
OMHCKD_00010 	 PF00182.22
OMHCKD_00025 	 PF08965.13
OMHCKD_00130 	 PF00436.28
OMHCKD_00170 	 PF00004.32
OMHCKD_00170 	  PF01695.20
OMHCKD_00200 	 PF17288.5
OMHCKD_00330 	 PF18013.4
OMHCKD_00355 	 PF18352.4
BACJCB_00090 	 PF08748.14
BACJCB_00095 	 PF08809.14
BACJCB_00120 	 PF02012.23
BACJCB_00120 	  PF02012.23
BACJCB_00140 	 PF00959.22
BACJCB_00285 	 PF01381.25
KIAGML_00040 	 PF13385.9
KIAGML_00060 	 PF01464.23
KIAGML_00290 	 PF12705.10
KIAGML_00290 	  PF12705.10
KIAGML_00405 	 PF17289.5
PLKKHO_00235 	 PF05534.15
PLKKHO_00280 	 PF09250.14
BCOBGC_00120 	 PF01381.25
BCOBGC_00130 	 PF00772.24
BCOBGC_00130 	  PF13481.9
BCOBGC_00140 	 PF01381.25
BCOBGC_00140 	  PF14549.9
BCOBGC_00170 	 PF12684.10
GIIHGH_00175 	 PF01381.25
GIIHGH_00175 	  PF13443.9
GIIHGH_00200 	 PF08299.14
